epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3115,0.54337,1.04141,1.50945,1.04533,0.29778,0.59281,0.37246,0.23244,0.30371,0.60241,0.37378,0.22779,1.28426,2.07415,2.32065,1.54877,0.000471473,0.000471473,0.000471473
2,24.0546,0.59043,0.91886,1.03755,1.03623,0.73748,0.67729,0.74225,0.61386,0.73636,0.66424,0.7236,0.57404,0.72456,1.76706,2.08728,1.20097,0.000938423,0.000938423,0.000938423
3,36.3378,0.62402,0.99702,1.02911,1.0573,0.73523,0.77373,0.79619,0.61046,0.73932,0.77102,0.78701,0.64039,0.78505,1.3515,1.46535,1.23126,0.00139594,0.00139594,0.00139594
4,48.1464,0.62272,0.97559,0.98497,1.05221,0.75309,0.85893,0.86062,0.7267,0.80613,0.77698,0.84535,0.72007,0.6147,1.29031,1.11558,1.09386,0.00138656,0.00138656,0.00138656
5,59.4014,0.57692,0.94757,0.93837,1.03274,0.80136,0.73415,0.81266,0.67446,0.8039,0.7311,0.80651,0.67131,0.60778,1.24316,1.33202,1.10568,0.00137241,0.00137241,0.00137241
6,70.891,0.54465,0.84291,0.87095,1.01501,0.79192,0.79171,0.83904,0.7305,0.78973,0.78976,0.8349,0.7295,0.51763,1.10222,0.92621,1.01056,0.00135826,0.00135826,0.00135826
7,82.3047,0.5221,0.87106,0.85171,1.00637,0.869,0.76792,0.8651,0.75362,0.84403,0.75218,0.84023,0.72596,0.53231,1.19214,0.86652,1.03305,0.00134412,0.00134412,0.00134412
8,94.3179,0.50986,0.78435,0.81978,0.9986,0.8295,0.79737,0.86927,0.7421,0.82511,0.79207,0.86159,0.74586,0.55305,1.03911,0.90622,1.05175,0.00132997,0.00132997,0.00132997
9,105.699,0.52104,0.82625,0.8164,0.99828,0.87389,0.76596,0.90089,0.80998,0.87962,0.76339,0.89325,0.78689,0.45425,1.02966,0.66283,0.94617,0.00131582,0.00131582,0.00131582
10,116.982,0.48638,0.80073,0.78953,0.98806,0.81017,0.83953,0.8922,0.8092,0.80706,0.83024,0.88543,0.78791,0.45887,0.89642,0.68712,0.96222,0.00130168,0.00130168,0.00130168
11,128.119,0.46837,0.71027,0.75178,0.97899,0.89737,0.81198,0.91503,0.81584,0.90076,0.8097,0.90811,0.82048,0.4751,0.72753,0.64682,0.98366,0.00128753,0.00128753,0.00128753
12,140.119,0.46627,0.67856,0.73348,0.97636,0.76962,0.78264,0.85402,0.77778,0.76962,0.78264,0.84787,0.77498,0.43918,0.79134,0.75908,0.94508,0.00127338,0.00127338,0.00127338
13,151.486,0.47344,0.71126,0.75375,0.9828,0.87156,0.79689,0.894,0.79345,0.87155,0.80188,0.88843,0.79107,0.50053,0.8586,0.6761,1.00756,0.00125923,0.00125923,0.00125923
14,162.555,0.45361,0.64223,0.7104,0.97109,0.92354,0.78154,0.91614,0.83881,0.92567,0.78308,0.91168,0.84405,0.42113,0.65311,0.62704,0.92989,0.00124509,0.00124509,0.00124509
15,174.162,0.44586,0.6672,0.72329,0.96718,0.89801,0.80689,0.92456,0.83587,0.8943,0.80327,0.91596,0.84147,0.42329,0.7163,0.64217,0.95705,0.00123094,0.00123094,0.00123094
16,185.66,0.42677,0.67602,0.6764,0.961,0.84636,0.84118,0.91338,0.84024,0.844,0.84185,0.90339,0.82586,0.40935,0.73058,0.62589,0.92726,0.00121679,0.00121679,0.00121679
17,196.99,0.43503,0.67124,0.68769,0.96181,0.89437,0.8449,0.92933,0.85236,0.88595,0.83871,0.92178,0.83946,0.41191,0.77405,0.60894,0.93212,0.00120265,0.00120265,0.00120265
18,208.293,0.42973,0.62829,0.70312,0.96308,0.89502,0.83921,0.92857,0.86261,0.89103,0.83326,0.92104,0.85425,0.40224,0.64633,0.53418,0.91997,0.0011885,0.0011885,0.0011885
19,219.581,0.41959,0.62908,0.68557,0.95589,0.86406,0.88017,0.93086,0.87712,0.86004,0.87655,0.92171,0.85416,0.37275,0.70919,0.64714,0.91111,0.00117435,0.00117435,0.00117435
20,231.039,0.4066,0.59849,0.68744,0.94854,0.89573,0.84783,0.92625,0.86723,0.89027,0.84367,0.91707,0.85823,0.36669,0.6559,0.51196,0.89676,0.00116021,0.00116021,0.00116021
21,242.115,0.41838,0.64578,0.67519,0.95785,0.8778,0.83073,0.91304,0.84221,0.88222,0.82298,0.90703,0.84076,0.37188,0.66142,0.55274,0.90633,0.00114606,0.00114606,0.00114606
22,253.742,0.41043,0.60864,0.66529,0.95491,0.82282,0.84651,0.91496,0.84847,0.81452,0.83693,0.90041,0.82973,0.36385,0.69242,0.57494,0.91205,0.00113191,0.00113191,0.00113191
23,264.607,0.39414,0.56375,0.63281,0.94224,0.9231,0.85439,0.93606,0.86931,0.91892,0.85077,0.9294,0.86221,0.37371,0.70761,0.52439,0.92556,0.00111776,0.00111776,0.00111776
24,275.939,0.39778,0.59676,0.64419,0.94053,0.93022,0.8444,0.9432,0.88377,0.92796,0.84286,0.93691,0.87522,0.35646,0.57151,0.45155,0.89752,0.00110362,0.00110362,0.00110362
25,287.617,0.39824,0.57674,0.62606,0.93778,0.87833,0.87171,0.93393,0.86802,0.87696,0.86952,0.92484,0.86561,0.38071,0.63218,0.52286,0.89616,0.00108947,0.00108947,0.00108947
26,299.126,0.38573,0.54234,0.61206,0.93405,0.87052,0.86201,0.93024,0.86618,0.86475,0.85644,0.92131,0.85835,0.36128,0.64016,0.4918,0.9018,0.00107532,0.00107532,0.00107532
27,310.319,0.37422,0.55172,0.59536,0.93166,0.93119,0.83854,0.9393,0.87779,0.9286,0.83767,0.93389,0.86742,0.38125,0.70003,0.47143,0.92345,0.00106118,0.00106118,0.00106118
28,321.313,0.37516,0.53643,0.58812,0.93502,0.95215,0.824,0.94252,0.88642,0.95601,0.82735,0.93918,0.86854,0.34298,0.6245,0.47084,0.883,0.00104703,0.00104703,0.00104703
29,332.923,0.36701,0.55352,0.59378,0.93156,0.90834,0.87181,0.94066,0.87689,0.91934,0.86006,0.93459,0.87054,0.34636,0.54521,0.51639,0.88764,0.00103288,0.00103288,0.00103288
30,344.505,0.37323,0.5374,0.60025,0.93652,0.91557,0.82868,0.93618,0.8807,0.91185,0.82505,0.92799,0.86095,0.32926,0.66532,0.53043,0.86535,0.00101873,0.00101873,0.00101873
31,355.858,0.36341,0.52315,0.58501,0.92766,0.92168,0.80915,0.92913,0.87729,0.92168,0.80915,0.92332,0.86336,0.32255,0.63319,0.48898,0.86505,0.00100459,0.00100459,0.00100459
32,367.076,0.35914,0.52887,0.57901,0.92251,0.93913,0.8766,0.95466,0.89432,0.94384,0.8766,0.94688,0.88419,0.34418,0.53804,0.43962,0.88925,0.00099044,0.00099044,0.00099044
33,378.401,0.36098,0.50663,0.57869,0.92758,0.92057,0.84715,0.94624,0.88425,0.91119,0.83823,0.9331,0.86825,0.33699,0.58128,0.46118,0.90017,0.000976293,0.000976293,0.000976293
34,389.673,0.35213,0.50967,0.5732,0.92829,0.89476,0.87777,0.9466,0.88626,0.89277,0.87624,0.94068,0.8846,0.34224,0.54749,0.44284,0.8915,0.000962146,0.000962146,0.000962146
35,400.927,0.35276,0.48482,0.57051,0.92174,0.91899,0.86052,0.94659,0.89001,0.92127,0.86161,0.94146,0.87597,0.33081,0.61226,0.43493,0.88508,0.000947999,0.000947999,0.000947999
36,412.104,0.34972,0.50507,0.56322,0.92157,0.89356,0.86948,0.93597,0.8849,0.89211,0.8678,0.93138,0.8783,0.34853,0.50785,0.48099,0.89985,0.000933851,0.000933851,0.000933851
37,423.359,0.34292,0.47992,0.54911,0.91734,0.93268,0.87596,0.94919,0.89575,0.93268,0.87596,0.94622,0.88877,0.32239,0.51783,0.40769,0.88728,0.000919704,0.000919704,0.000919704
38,434.985,0.33533,0.47913,0.55289,0.91765,0.88131,0.88671,0.94124,0.8826,0.87417,0.88181,0.92949,0.87415,0.33945,0.55202,0.44856,0.89034,0.000905557,0.000905557,0.000905557
39,446.561,0.33887,0.49544,0.54055,0.91437,0.90264,0.89638,0.95153,0.89652,0.90102,0.89501,0.94389,0.88354,0.33609,0.57844,0.42654,0.89152,0.00089141,0.00089141,0.00089141
40,457.735,0.33726,0.47956,0.55015,0.91892,0.9352,0.83742,0.93949,0.8845,0.93346,0.83575,0.93528,0.87378,0.3199,0.54788,0.45093,0.87452,0.000877263,0.000877263,0.000877263
41,468.515,0.33483,0.4589,0.5322,0.91484,0.91001,0.86515,0.94032,0.89048,0.90415,0.85997,0.93147,0.88101,0.32708,0.53578,0.44359,0.87388,0.000863116,0.000863116,0.000863116
42,479.526,0.33346,0.46611,0.53199,0.91375,0.92569,0.8492,0.94139,0.89306,0.9252,0.84752,0.93685,0.88358,0.30713,0.58004,0.42859,0.8666,0.000848969,0.000848969,0.000848969
43,490.64,0.32618,0.47483,0.529,0.90508,0.94393,0.85251,0.95191,0.90216,0.93966,0.8504,0.94597,0.8953,0.31168,0.53294,0.41638,0.87682,0.000834822,0.000834822,0.000834822
44,501.837,0.33238,0.4807,0.50968,0.9109,0.91352,0.85272,0.93293,0.88324,0.9062,0.85135,0.92748,0.86869,0.31288,0.59334,0.45559,0.87432,0.000820675,0.000820675,0.000820675
45,512.626,0.32138,0.44972,0.51119,0.90599,0.90259,0.85629,0.93233,0.87804,0.90259,0.85629,0.9277,0.87144,0.3159,0.60595,0.47119,0.86151,0.000806528,0.000806528,0.000806528
46,523.882,0.32105,0.42215,0.49183,0.90458,0.89374,0.87917,0.94579,0.8889,0.92789,0.84991,0.93957,0.8847,0.3163,0.58992,0.40772,0.8656,0.00079238,0.00079238,0.00079238
47,535.187,0.31911,0.45956,0.50969,0.91049,0.92549,0.84758,0.94677,0.89642,0.92237,0.84606,0.93725,0.882,0.30145,0.57039,0.43177,0.85105,0.000778233,0.000778233,0.000778233
48,546.008,0.31976,0.47083,0.49756,0.908,0.88251,0.84876,0.93904,0.89173,0.88246,0.84547,0.93282,0.87102,0.31616,0.61434,0.43364,0.8861,0.000764086,0.000764086,0.000764086
49,557.114,0.31995,0.43005,0.49495,0.91088,0.91492,0.87422,0.94642,0.90153,0.91321,0.87255,0.94116,0.88179,0.29535,0.55889,0.42035,0.86057,0.000749939,0.000749939,0.000749939
50,568.095,0.31656,0.42354,0.49861,0.90768,0.88466,0.9099,0.95116,0.90029,0.88064,0.90666,0.94516,0.88622,0.31029,0.54581,0.39124,0.86815,0.000735792,0.000735792,0.000735792
51,579.155,0.30752,0.41361,0.4799,0.90299,0.88581,0.8852,0.94957,0.89744,0.87895,0.87803,0.94125,0.88748,0.32472,0.48743,0.42322,0.88086,0.000721645,0.000721645,0.000721645
52,590.428,0.30065,0.39295,0.48018,0.90012,0.8779,0.90101,0.95376,0.9056,0.8763,0.89934,0.94665,0.89536,0.29333,0.52567,0.40889,0.85966,0.000707498,0.000707498,0.000707498
53,601.652,0.30654,0.42115,0.49048,0.90238,0.88643,0.91225,0.94744,0.90272,0.88643,0.91225,0.94528,0.89194,0.29359,0.50198,0.41387,0.86564,0.000693351,0.000693351,0.000693351
54,613.092,0.31065,0.44064,0.48099,0.90067,0.90853,0.87307,0.94417,0.89379,0.90853,0.87307,0.93892,0.88343,0.29411,0.52061,0.42117,0.85778,0.000679204,0.000679204,0.000679204
55,624.309,0.30219,0.43615,0.47301,0.90573,0.92162,0.87912,0.94922,0.90691,0.92162,0.87912,0.94454,0.89288,0.28225,0.49854,0.40543,0.84616,0.000665057,0.000665057,0.000665057
56,635.395,0.29746,0.38988,0.47464,0.89786,0.87498,0.86641,0.94177,0.89588,0.88985,0.86022,0.93382,0.88303,0.28854,0.51417,0.42916,0.85673,0.000650909,0.000650909,0.000650909
