epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.71387,1.35297,1.79962,3.78549,0.90436,0.00172,0.08625,0.00094,0.0006,0.00301,0.15094,0.00174,0.00098,1.08792,1.52042,3.77376,0.88493,6e-05,6e-05,6e-05
2,2.5953,1.3716,1.82477,3.93716,0.91243,0.00538,0.26954,0.00347,0.00189,0.00742,0.37197,0.00526,0.00265,1.1082,1.21639,3.67329,0.83929,0.000138614,0.000138614,0.000138614
3,3.90059,1.25154,1.29099,3.34036,0.83109,0.0128,0.64151,0.02052,0.01108,0.01446,0.72507,0.0252,0.01541,1.04831,1.03027,3.59365,0.81795,0.000215644,0.000215644,0.000215644
4,4.9551,1.21532,1.21362,2.71381,0.82711,0.01505,0.75472,0.03743,0.01778,0.01726,0.86523,0.04568,0.02656,1.03059,1.03574,3.58616,0.81463,0.00029109,0.00029109,0.00029109
5,6.18598,1.22087,1.27605,1.85571,0.83853,0.01538,0.77089,0.03716,0.01829,0.01785,0.89488,0.04479,0.02784,1.03937,1.0673,3.55934,0.81098,0.000364952,0.000364952,0.000364952
6,7.48497,1.18518,1.27638,1.57442,0.82553,0.01527,0.7655,0.0347,0.01511,0.01823,0.91375,0.04212,0.02408,1.09659,1.24357,3.56349,0.8131,0.00043723,0.00043723,0.00043723
7,8.5649,1.15638,1.1775,1.45885,0.83049,0.01554,0.77898,0.03298,0.01665,0.0178,0.89218,0.0384,0.02324,1.01022,1.11698,3.5257,0.80885,0.000507924,0.000507924,0.000507924
8,9.72266,1.1404,1.06172,1.35699,0.83958,0.01382,0.69272,0.02389,0.00974,0.01737,0.87062,0.03223,0.0189,1.2333,1.21092,3.57265,0.826,0.000577034,0.000577034,0.000577034
9,10.9516,1.1255,1.07114,1.29359,0.83081,0.01414,0.70889,0.02377,0.01119,0.0171,0.85714,0.02998,0.01827,1.07841,1.02699,3.55169,0.81807,0.00064456,0.00064456,0.00064456
10,12.1315,1.11428,1.07708,1.30892,0.85593,0.0136,0.68194,0.02111,0.00895,0.01661,0.83288,0.02693,0.01423,1.16637,1.28262,3.57526,0.8281,0.000710502,0.000710502,0.000710502
11,13.0296,1.21847,1.1954,1.38504,0.8431,0.01414,0.70889,0.02162,0.01127,0.01624,0.81402,0.02602,0.01422,1.05221,0.93311,3.51626,0.81635,0.00077486,0.00077486,0.00077486
12,13.9307,1.18615,1.13259,1.26363,0.85038,0.01317,0.66038,0.01874,0.00883,0.01629,0.81671,0.02472,0.01281,1.17795,1.068,3.51406,0.82244,0.000837634,0.000837634,0.000837634
13,14.8527,1.12854,1.12172,1.19044,0.84687,0.01269,0.63612,0.01774,0.00872,0.01672,0.83827,0.026,0.01432,1.0482,1.04302,3.46908,0.81626,0.000898824,0.000898824,0.000898824
14,15.7246,1.10813,1.17661,1.21056,0.82999,0.01317,0.66038,0.02409,0.01369,0.0164,0.8221,0.0297,0.01819,1.08109,1.0085,3.4553,0.81859,0.00095843,0.00095843,0.00095843
15,16.9624,1.15466,1.05981,1.21884,0.83216,0.0129,0.6469,0.04626,0.03184,0.01651,0.82749,0.05358,0.03844,1.18564,1.02395,3.39335,0.82514,0.00101645,0.00101645,0.00101645
16,17.9228,1.15221,1.08147,1.12828,0.84583,0.01301,0.65229,0.0649,0.04692,0.01634,0.81941,0.07092,0.0539,1.12033,0.94077,3.34755,0.81985,0.00107289,0.00107289,0.00107289
17,18.879,1.04271,1.02051,1.09457,0.84082,0.01285,0.6442,0.0997,0.07084,0.01613,0.80863,0.10481,0.07946,1.0626,0.8915,3.31902,0.81341,0.00112774,0.00112774,0.00112774
18,19.9716,1.12674,1.01327,1.17475,0.83244,0.01247,0.62534,0.16434,0.10775,0.01629,0.81671,0.17008,0.11057,1.14212,1.0725,3.2739,0.81652,0.00118101,0.00118101,0.00118101
19,21.2226,1.04965,0.97348,1.06813,0.82814,0.0128,0.64151,0.15647,0.1031,0.01688,0.84636,0.16565,0.11783,1.18965,1.01175,3.25535,0.81988,0.0012327,0.0012327,0.0012327
20,22.4856,1.07361,1.10461,1.05507,0.83064,0.01355,0.67925,0.20289,0.14092,0.01704,0.85445,0.20918,0.14412,1.12571,1.04543,3.21619,0.81454,0.0012828,0.0012828,0.0012828
