epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.56658,1.31118,1.82736,4.95168,0.94133,5e-05,0.0027,3e-05,2e-05,0.00597,0.29919,0.00401,0.00174,1.16357,1.45973,5.24992,0.93114,6e-05,6e-05,6e-05
2,3.91133,1.43226,2.06148,5.20234,0.95635,0.84363,0.14542,0.25252,0.14974,0.8051,0.13362,0.23813,0.10783,1.08116,1.84649,2.76499,0.81854,0.000138614,0.000138614,0.000138614
3,5.84465,1.15241,1.77269,2.02835,0.81898,0.79707,0.68194,0.77818,0.54343,0.76442,0.63847,0.70115,0.36407,0.92663,1.14323,1.08879,0.8393,0.000215644,0.000215644,0.000215644
4,7.84558,0.96694,1.12314,1.09619,0.82937,0.44758,0.53369,0.42017,0.294,0.45511,0.47729,0.36757,0.17133,0.90381,0.89043,1.24127,0.83539,0.00029109,0.00029109,0.00029109
5,9.47496,0.95011,1.1259,0.92099,0.84225,0.71353,0.59838,0.64796,0.45701,0.67817,0.56873,0.58862,0.30564,0.96306,1.05699,1.02773,0.84585,0.000364952,0.000364952,0.000364952
6,11.1996,0.98051,1.05905,0.77334,0.83708,0.14315,0.72237,0.13294,0.08513,0.13077,0.59569,0.10919,0.04373,0.92585,0.9848,8.26551,0.84168,0.00043723,0.00043723,0.00043723
7,12.8691,0.90782,1.06988,0.71855,0.82515,0.02262,0.55526,0.02068,0.01462,0.02198,0.51213,0.01895,0.00956,0.90248,1.62432,49.1013,0.83939,0.000507924,0.000507924,0.000507924
8,14.74,0.86696,1.04504,0.66091,0.82193,0.01393,0.44744,0.01053,0.00703,0.0141,0.45283,0.01044,0.00524,1.20507,7.86506,56.9158,0.86899,0.000577034,0.000577034,0.000577034
9,16.537,0.99697,0.97414,0.73138,0.83214,0.00651,0.32615,0.00433,0.00304,0.00914,0.42857,0.00655,0.00334,1.22471,2.27003,inf,0.88005,0.00064456,0.00064456,0.00064456
10,18.1993,1.00672,1.01458,0.77787,0.84919,0.01294,0.50404,0.01027,0.00644,0.01315,0.48248,0.01017,0.00472,1.2312,4.38443,inf,0.90019,0.000710502,0.000710502,0.000710502
11,19.8961,1.14136,1.08781,0.70647,0.84695,0.00016,0.00809,8e-05,2e-05,5e-05,0.0027,3e-05,0,3.78394,308.327,inf,2.83515,0.00077486,0.00077486,0.00077486
12,21.6197,1.21598,1.03696,0.94439,0.84401,0.00022,0.01078,0.00013,2e-05,0,0,0,0,4.77636,nan,inf,17.5287,0.000837634,0.000837634,0.000837634
13,23.2235,1.12694,1.00082,0.69114,0.86031,9e-05,0.0027,4e-05,2e-05,0.00011,0.0027,5e-05,5e-05,2.77274,nan,inf,27.5546,0.000898824,0.000898824,0.000898824
14,24.811,1.14112,1.01286,0.75012,0.84437,5e-05,0.0027,3e-05,2e-05,0.00011,0.00539,6e-05,4e-05,3.56395,nan,inf,5.60741,0.00095843,0.00095843,0.00095843
15,26.604,1.07586,1.0822,0.76744,0.83171,7e-05,0.0027,4e-05,2e-05,7e-05,0.0027,4e-05,2e-05,4.18568,336.535,65.4464,5.29673,0.00101645,0.00101645,0.00101645
16,28.4023,1.11311,1.09945,0.66843,0.8573,0.00043,0.0027,6e-05,1e-05,0,0,0,0,4.31195,645.264,45.0038,2.71732,0.00107289,0.00107289,0.00107289
17,30.011,0.98893,1.04397,0.67453,0.84661,0.00773,0.01078,0.00073,0.00026,0.00815,0.02695,0.00118,0.00052,4.22699,157.894,9.29087,2.36979,0.00112774,0.00112774,0.00112774
18,31.9298,1.01308,0.93073,0.65385,0.83347,0.01299,0.30728,0.00697,0.00383,0.01194,0.29919,0.00647,0.00305,2.03958,42.4489,inf,1.30903,0.00118101,0.00118101,0.00118101
19,33.9478,1.07751,0.92824,0.90758,0.84928,0.03489,0.18598,0.0104,0.00478,0.03093,0.15633,0.00888,0.00412,2.58504,82.6711,63.7102,1.91346,0.0012327,0.0012327,0.0012327
20,35.7783,1.06653,1.15073,0.7254,0.83717,0.00271,0.03504,0.00141,0.00077,0.00292,0.03774,0.00152,0.00102,nan,nan,nan,nan,0.0012828,0.0012828,0.0012828
21,37.4487,1.15915,1.0684,0.73247,0.84581,0.03157,0.16981,0.01653,0.00969,0.02423,0.20485,0.01518,0.00867,nan,nan,nan,nan,0.00133132,0.00133132,0.00133132
22,39.0338,1.03766,1.14409,0.80381,0.82528,0.05209,0.56873,0.03864,0.02188,0.04808,0.5283,0.03688,0.01766,nan,nan,nan,nan,0.00137825,0.00137825,0.00137825
23,40.7812,1.06485,1.03231,0.64826,0.82349,0.05458,0.77089,0.0472,0.02665,0.04924,0.69542,0.04192,0.02185,nan,nan,nan,nan,0.0014236,0.0014236,0.0014236
24,42.632,0.97348,0.94762,0.67137,0.82756,0.08103,0.72237,0.06702,0.04079,0.07468,0.66577,0.05942,0.02806,nan,nan,nan,nan,0.00146737,0.00146737,0.00146737
25,44.242,1.12435,0.98595,0.64742,0.84753,0.08719,0.77898,0.07958,0.04706,0.07514,0.67116,0.06128,0.02509,1.14168,10.3426,51.0542,0.89323,0.00150955,0.00150955,0.00150955
26,46.0841,0.99127,0.97705,0.75533,0.85044,0.02406,0.84636,0.02282,0.01485,0.0211,0.71968,0.01861,0.00885,0.99424,1.41489,inf,0.85744,0.001505,0.001505,0.001505
27,47.7546,0.99157,0.98682,0.6108,0.84124,0.01312,0.54717,0.00978,0.00637,0.01196,0.49865,0.00868,0.00485,1.0203,1.59537,inf,0.86154,0.0014852,0.0014852,0.0014852
28,49.412,1.06614,1.10113,0.6854,0.8426,0.02702,0.73046,0.02286,0.01425,0.02428,0.61995,0.01925,0.01063,1.016,1.01939,inf,0.85461,0.0014654,0.0014654,0.0014654
29,51.2295,1.03347,1.0567,0.6309,0.84391,0.04491,0.8221,0.04116,0.028,0.04009,0.73046,0.03398,0.0167,0.93889,0.85479,60.3607,0.84306,0.0014456,0.0014456,0.0014456
30,52.872,0.94854,0.81261,0.60849,0.82063,0.11796,0.7655,0.11076,0.07338,0.10765,0.69542,0.09377,0.04366,0.90079,1.28545,10.6164,0.83779,0.0014258,0.0014258,0.0014258
31,54.5256,0.88599,0.92741,0.55744,0.83395,0.20155,0.78167,0.20188,0.13372,0.18634,0.71915,0.1728,0.08268,0.88101,1.73686,7.2607,0.83887,0.001406,0.001406,0.001406
32,56.4993,0.9553,0.81246,0.58264,0.81195,0.16577,0.74663,0.1565,0.11073,0.15512,0.68733,0.12936,0.05905,0.83193,1.04676,8.85017,0.83313,0.0013862,0.0013862,0.0013862
33,58.1579,0.84541,0.93438,0.55611,0.8096,0.78785,0.79245,0.82111,0.56826,0.75628,0.69424,0.67754,0.29718,0.87011,0.88801,1.19162,0.83282,0.0013664,0.0013664,0.0013664
34,59.8553,0.98898,1.00784,0.57702,0.81694,0.81919,0.84264,0.8802,0.62818,0.78152,0.77089,0.76531,0.3681,0.85616,0.99383,0.87712,0.832,0.0013466,0.0013466,0.0013466
35,61.9251,0.88387,0.91454,0.52378,0.81791,0.80088,0.88896,0.90448,0.61425,0.76676,0.8221,0.83228,0.42892,0.91965,0.85963,0.96622,0.83732,0.0013268,0.0013268,0.0013268
36,63.7834,0.93608,0.97933,0.5644,0.83105,0.81946,0.86792,0.90113,0.60595,0.81197,0.80593,0.84285,0.43576,0.92366,0.95002,0.86019,0.8355,0.001307,0.001307,0.001307
37,65.3944,0.90466,0.82563,0.53057,0.81879,0.84152,0.85175,0.89868,0.62185,0.83002,0.77358,0.82071,0.40004,0.93771,1.18897,0.67655,0.8361,0.0012872,0.0012872,0.0012872
38,67.2494,0.92474,0.84771,0.5427,0.80901,0.84084,0.85175,0.89294,0.65623,0.84263,0.75202,0.80493,0.4007,0.80885,1.11376,0.61979,0.82492,0.0012674,0.0012674,0.0012674
39,69.2439,0.83749,0.8575,0.51528,0.79611,0.8524,0.82499,0.88225,0.63022,0.78865,0.75472,0.78412,0.39329,0.83762,0.95052,0.64412,0.83316,0.0012476,0.0012476,0.0012476
40,70.9269,0.96693,0.86674,0.5471,0.83264,0.85783,0.84575,0.90367,0.62343,0.81158,0.76011,0.79423,0.3922,0.88433,0.90147,0.63283,0.8382,0.0012278,0.0012278,0.0012278
41,72.7423,0.89977,0.842,0.54772,0.81698,0.87701,0.84566,0.91536,0.62772,0.83511,0.77089,0.81318,0.40297,0.89012,0.83836,0.6313,0.83398,0.001208,0.001208,0.001208
42,74.4008,0.85802,0.90729,0.56414,0.82114,0.86521,0.85714,0.92146,0.64483,0.82604,0.74933,0.79689,0.38195,0.87298,0.85646,0.54632,0.8306,0.0011882,0.0011882,0.0011882
43,76.0133,0.8711,0.86206,0.52378,0.82163,0.86444,0.87332,0.9246,0.6819,0.80916,0.80001,0.82566,0.41061,0.80232,0.79484,0.50095,0.82641,0.0011684,0.0011684,0.0011684
44,77.899,0.92492,0.86031,0.5746,0.81305,0.91225,0.85445,0.93178,0.70829,0.88095,0.79783,0.85889,0.45419,0.75049,0.7326,0.47921,0.82243,0.0011486,0.0011486,0.0011486
45,79.8514,0.86112,0.86441,0.51105,0.82403,0.91273,0.85175,0.93847,0.68229,0.87559,0.78976,0.84994,0.43361,0.82324,0.68116,0.52296,0.82596,0.0011288,0.0011288,0.0011288
46,81.741,0.85854,0.82027,0.52713,0.81766,0.92319,0.84367,0.93121,0.67824,0.86766,0.77756,0.83804,0.41111,0.85447,0.71301,0.52473,0.83179,0.001109,0.001109,0.001109
47,83.5653,0.88471,0.81397,0.54731,0.80472,0.9444,0.81941,0.92655,0.70699,0.87491,0.75741,0.81562,0.40111,0.72138,0.68952,0.43957,0.82126,0.0010892,0.0010892,0.0010892
48,85.3122,0.78691,0.75978,0.44657,0.80856,0.93581,0.81671,0.92505,0.71944,0.86639,0.75741,0.82407,0.41924,0.6902,0.69376,0.43146,0.8214,0.0010694,0.0010694,0.0010694
49,86.9249,0.77323,0.69593,0.48612,0.81782,0.93471,0.81041,0.92868,0.70583,0.89586,0.7655,0.83453,0.43444,0.73125,0.69432,0.44423,0.81952,0.0010496,0.0010496,0.0010496
50,88.7558,0.79091,0.77372,0.47265,0.81118,0.89875,0.83738,0.93362,0.7044,0.89702,0.77476,0.86089,0.42519,0.7712,0.69667,0.48927,0.82131,0.0010298,0.0010298,0.0010298
51,90.4321,0.77601,0.74715,0.49045,0.78333,0.88128,0.87062,0.93564,0.71896,0.8541,0.81402,0.85986,0.43988,0.71722,0.74079,0.50722,0.81822,0.00101,0.00101,0.00101
52,92.0784,0.80663,0.86321,0.47464,0.79993,0.87401,0.85984,0.93316,0.7232,0.85398,0.78822,0.83876,0.43534,0.69925,0.70979,0.50807,0.81606,0.0009902,0.0009902,0.0009902
53,93.9001,0.79207,0.74855,0.47688,0.80647,0.86714,0.87959,0.93449,0.71839,0.84639,0.76011,0.8232,0.42727,0.71573,0.6772,0.46451,0.81574,0.0009704,0.0009704,0.0009704
54,95.8263,0.79822,0.84526,0.47898,0.80502,0.89574,0.86523,0.93751,0.7112,0.83585,0.76858,0.8308,0.42322,0.74592,0.7536,0.44936,0.82044,0.0009506,0.0009506,0.0009506
