epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.3716,1.36636,1.84544,4.15896,0.94433,0.04686,0.10243,0.02339,0.01416,0.06062,0.10243,0.02833,0.01628,1.08636,1.33377,3.51221,0.90749,6e-05,6e-05,6e-05
2,3.48142,1.45911,1.97368,5.53634,0.97034,0.73462,0.48518,0.58243,0.40734,0.72485,0.4717,0.55697,0.24714,0.96693,1.41634,2.34328,0.86475,0.000138614,0.000138614,0.000138614
3,5.89498,1.08539,1.39266,2.56678,0.83055,0.75498,0.69811,0.73841,0.49754,0.71509,0.66038,0.68151,0.2803,0.98363,1.23302,3.12901,0.8442,0.000215644,0.000215644,0.000215644
4,7.62017,1.02989,1.09513,1.71305,0.83605,0.84455,0.79245,0.85535,0.57345,0.7856,0.721,0.76354,0.35876,0.90865,0.90725,1.78169,0.83968,0.00029109,0.00029109,0.00029109
5,9.1097,1.03659,1.12971,1.42893,0.85286,0.36652,0.72237,0.35554,0.24439,0.37513,0.63612,0.33535,0.17244,0.91035,0.93265,3.61316,0.83886,0.000364952,0.000364952,0.000364952
6,10.8447,1.02967,1.0802,1.30266,0.83211,0.12258,0.7628,0.11644,0.07513,0.11056,0.68194,0.09765,0.04196,0.99195,1.29403,15.4483,0.84764,0.00043723,0.00043723,0.00043723
7,12.0639,0.92259,1.01542,1.11063,0.82486,0.10169,0.80863,0.09698,0.06565,0.09478,0.74933,0.08351,0.04146,0.84262,0.94038,42.8843,0.83843,0.000507924,0.000507924,0.000507924
8,13.6556,0.93906,1.01181,0.99924,0.83179,0.07859,0.78437,0.0734,0.04349,0.06515,0.61725,0.05421,0.02335,1.04957,1.21197,68.3713,0.84684,0.000577034,0.000577034,0.000577034
9,14.9267,1.04128,0.98196,0.90468,0.84049,0.06932,0.75741,0.06592,0.04271,0.06207,0.67385,0.05483,0.0268,0.9146,1.12083,64.363,0.82974,0.00064456,0.00064456,0.00064456
10,16.1791,0.97916,0.99583,0.84409,0.84679,0.08053,0.70889,0.07542,0.04795,0.07115,0.61456,0.06054,0.02651,1.00807,1.26038,23.1486,0.83346,0.000710502,0.000710502,0.000710502
