epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3293,0.73836,2.21492,1.22765,0.86056,0.69633,0.79974,0.66697,0.60882,1.52207,1.11026,0.000471473,0.000471473,0.000471473
2,17.2275,0.72871,1.37415,1.16946,0.64134,0.57802,0.65804,0.51138,0.72028,1.66943,1.23052,0.000938423,0.000938423,0.000938423
3,24.2159,0.76822,1.26474,1.19502,0.77641,0.68062,0.79244,0.65874,0.67035,1.26859,1.16016,0.00139594,0.00139594,0.00139594
4,30.9163,0.7382,1.12463,1.17996,0.64016,0.6362,0.66859,0.51564,0.77148,1.46413,1.25543,0.00138656,0.00138656,0.00138656
5,37.4549,0.73711,1.07181,1.17757,0.83107,0.7867,0.87818,0.74197,0.62666,0.89345,1.11572,0.00137241,0.00137241,0.00137241
6,43.9041,0.702,0.97482,1.1525,0.82133,0.78058,0.87083,0.73984,0.59543,0.85473,1.0687,0.00135826,0.00135826,0.00135826
7,50.2344,0.67627,0.93565,1.13818,0.81265,0.83884,0.88619,0.76666,0.52103,0.8099,1.01493,0.00134412,0.00134412,0.00134412
8,57.022,0.66615,0.88584,1.13111,0.79126,0.81277,0.87139,0.74973,0.58283,0.95824,1.08565,0.00132997,0.00132997,0.00132997
9,63.6332,0.64291,0.84201,1.11039,0.80911,0.82647,0.88277,0.7627,0.53761,0.68531,1.05275,0.00131582,0.00131582,0.00131582
10,70.2509,0.64683,0.82302,1.11797,0.87461,0.78556,0.88893,0.75868,0.58186,0.71962,1.0746,0.00130168,0.00130168,0.00130168
11,76.8476,0.65194,0.81239,1.12181,0.88226,0.77612,0.88821,0.78822,0.5005,0.69121,0.99528,0.00128753,0.00128753,0.00128753
12,83.6312,0.62722,0.78696,1.11364,0.83305,0.81142,0.88782,0.77546,0.53488,0.68549,1.03932,0.00127338,0.00127338,0.00127338
13,90.7939,0.63344,0.79424,1.11593,0.87906,0.82848,0.91476,0.8229,0.47216,0.63024,0.96715,0.00125923,0.00125923,0.00125923
14,97.3124,0.61775,0.76635,1.10554,0.87561,0.78033,0.87785,0.75217,0.57141,0.80944,1.07576,0.00124509,0.00124509,0.00124509
15,103.662,0.61157,0.7694,1.09645,0.90943,0.8437,0.93548,0.8467,0.46224,0.54265,0.97069,0.00123094,0.00123094,0.00123094
16,110.059,0.59784,0.72473,1.09031,0.89041,0.81732,0.93544,0.84446,0.44904,0.6089,0.96372,0.00121679,0.00121679,0.00121679
17,116.929,0.59021,0.74236,1.08532,0.87636,0.8326,0.92666,0.80879,0.47544,0.64688,0.99352,0.00120265,0.00120265,0.00120265
18,123.829,0.59598,0.74271,1.09538,0.90437,0.78106,0.90373,0.79077,0.52081,0.65917,1.03819,0.0011885,0.0011885,0.0011885
19,130.518,0.58206,0.73247,1.07911,0.8139,0.76861,0.86454,0.75196,0.50766,0.8058,1.03014,0.00117435,0.00117435,0.00117435
20,137.372,0.57902,0.72434,1.08002,0.88715,0.87748,0.9325,0.83682,0.45944,0.56124,0.96556,0.00116021,0.00116021,0.00116021
