epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6941,0.76535,1.53347,1.25729,0.2182,0.37351,0.18029,0.1249,1.72931,25.554,2.82071,0.000471473,0.000471473,0.000471473
2,27.5419,0.9169,1.23859,1.31094,0.22145,0.3445,0.23098,0.13243,1.73111,6.26389,2.52585,0.000938423,0.000938423,0.000938423
3,40.9248,0.9568,1.2034,1.33014,0.81686,0.65568,0.74067,0.57955,0.88374,2.13791,1.48409,0.00139594,0.00139594,0.00139594
4,54.0071,0.90073,1.13191,1.30419,0.57035,0.59275,0.59662,0.43383,0.95046,2.55186,1.46907,0.00138656,0.00138656,0.00138656
5,66.8317,0.85393,1.0744,1.26935,0.73549,0.61398,0.73227,0.47333,1.14994,1.39462,1.63803,0.00137241,0.00137241,0.00137241
6,79.7629,0.786,1.00283,1.23044,0.73924,0.67954,0.75168,0.61605,0.70063,1.18419,1.20083,0.00135826,0.00135826,0.00135826
7,92.7,0.7583,0.95832,1.20674,0.83351,0.78603,0.87275,0.74011,0.60629,0.84815,1.1035,0.00134412,0.00134412,0.00134412
8,105.943,0.74513,0.92226,1.19824,0.76872,0.72053,0.82315,0.70671,0.59121,0.99177,1.08126,0.00132997,0.00132997,0.00132997
9,118.764,0.70821,0.88976,1.17051,0.8538,0.7977,0.89167,0.78438,0.5192,0.72537,1.04093,0.00131582,0.00131582,0.00131582
10,131.897,0.69268,0.86148,1.16983,0.82145,0.76313,0.87686,0.74665,0.56843,0.86361,1.08414,0.00130168,0.00130168,0.00130168
11,144.716,0.69852,0.85147,1.17185,0.79548,0.82073,0.87043,0.76789,0.53779,0.75127,1.05743,0.00128753,0.00128753,0.00128753
12,157.477,0.66773,0.82823,1.15373,0.89978,0.79639,0.9028,0.79276,0.53038,0.63671,1.05692,0.00127338,0.00127338,0.00127338
13,170.588,0.67975,0.84621,1.16051,0.85859,0.82501,0.89776,0.78515,0.55058,0.76331,1.0587,0.00125923,0.00125923,0.00125923
14,183.492,0.65843,0.80774,1.14065,0.81509,0.88532,0.92044,0.82004,0.5053,0.5984,1.03074,0.00124509,0.00124509,0.00124509
15,196.528,0.65022,0.80233,1.13867,0.87784,0.85677,0.91966,0.82903,0.48142,0.56258,1.00054,0.00123094,0.00123094,0.00123094
16,209.591,0.64244,0.76939,1.13137,0.86105,0.80055,0.90047,0.7759,0.54925,0.67505,1.03954,0.00121679,0.00121679,0.00121679
17,222.68,0.63247,0.77532,1.12292,0.84225,0.84775,0.91949,0.82351,0.48284,0.61075,0.99849,0.00120265,0.00120265,0.00120265
18,235.613,0.62386,0.78302,1.1274,0.86789,0.83431,0.91625,0.80882,0.5068,0.56388,1.04523,0.0011885,0.0011885,0.0011885
19,248.59,0.60895,0.77158,1.10842,0.90466,0.83736,0.91858,0.82605,0.47254,0.5663,1.00382,0.00117435,0.00117435,0.00117435
20,261.356,0.61883,0.75879,1.11883,0.87931,0.8538,0.92357,0.82788,0.47523,0.56227,1.00132,0.00116021,0.00116021,0.00116021
21,274.337,0.60217,0.72255,1.1123,0.87451,0.8405,0.91568,0.83966,0.42469,0.59444,0.96174,0.00114606,0.00114606,0.00114606
22,287.435,0.58666,0.71871,1.10413,0.89181,0.80666,0.90207,0.79531,0.51258,0.64175,1.0654,0.00113191,0.00113191,0.00113191
23,300.333,0.5774,0.69863,1.09014,0.89249,0.85963,0.92491,0.851,0.40734,0.54645,0.94028,0.00111776,0.00111776,0.00111776
24,313.565,0.57542,0.70317,1.08977,0.86236,0.86244,0.92599,0.84567,0.43206,0.5732,0.96458,0.00110362,0.00110362,0.00110362
25,326.42,0.58863,0.68905,1.09142,0.88154,0.84273,0.9379,0.85586,0.44432,0.51473,0.99138,0.00108947,0.00108947,0.00108947
26,339.489,0.5665,0.67232,1.08291,0.88477,0.84542,0.93574,0.84544,0.45071,0.52314,0.99111,0.00107532,0.00107532,0.00107532
27,352.609,0.55816,0.66263,1.07335,0.87591,0.89476,0.94676,0.86631,0.41676,0.47404,0.96778,0.00106118,0.00106118,0.00106118
28,366.294,0.54532,0.64219,1.07399,0.89708,0.86872,0.94534,0.86961,0.411,0.52973,0.97513,0.00104703,0.00104703,0.00104703
29,379.904,0.53663,0.63926,1.07426,0.89838,0.8541,0.93242,0.85251,0.40282,0.51043,0.94656,0.00103288,0.00103288,0.00103288
30,392.965,0.53579,0.63991,1.06419,0.88223,0.87291,0.94354,0.86922,0.40138,0.50978,0.96132,0.00101873,0.00101873,0.00101873
31,406.081,0.54041,0.64576,1.06812,0.91524,0.80015,0.92401,0.84596,0.4322,0.51361,0.97002,0.00100459,0.00100459,0.00100459
32,419.174,0.54733,0.65061,1.07222,0.87348,0.82745,0.92958,0.85206,0.42309,0.55194,0.95912,0.00099044,0.00099044,0.00099044
33,432.095,0.53975,0.62763,1.06719,0.88573,0.78686,0.90879,0.84755,0.3837,0.54863,0.94342,0.000976293,0.000976293,0.000976293
34,444.924,0.52995,0.61514,1.06535,0.89991,0.85573,0.94486,0.87676,0.40538,0.48358,0.96693,0.000962146,0.000962146,0.000962146
35,458.085,0.51915,0.61504,1.04909,0.92042,0.84914,0.9401,0.86756,0.37536,0.46349,0.93089,0.000947999,0.000947999,0.000947999
36,471.144,0.52382,0.61956,1.06326,0.92327,0.84464,0.94281,0.87046,0.38024,0.45972,0.93651,0.000933851,0.000933851,0.000933851
37,483.987,0.50946,0.59677,1.05036,0.86736,0.90003,0.94884,0.86514,0.41263,0.48055,0.96076,0.000919704,0.000919704,0.000919704
38,496.767,0.51122,0.60065,1.05565,0.89191,0.89619,0.95233,0.87801,0.38861,0.45759,0.96408,0.000905557,0.000905557,0.000905557
39,509.82,0.50928,0.60144,1.05024,0.88372,0.84622,0.94012,0.86984,0.38521,0.46137,0.93715,0.00089141,0.00089141,0.00089141
40,522.778,0.50064,0.58358,1.04621,0.88964,0.87907,0.93643,0.87686,0.36782,0.47874,0.93122,0.000877263,0.000877263,0.000877263
41,535.601,0.50618,0.60437,1.0433,0.89965,0.88044,0.95067,0.88685,0.34918,0.4324,0.91219,0.000863116,0.000863116,0.000863116
42,548.655,0.49619,0.59143,1.04258,0.85011,0.90138,0.94031,0.8787,0.34878,0.44759,0.90787,0.000848969,0.000848969,0.000848969
43,561.327,0.49888,0.58987,1.04137,0.88463,0.89309,0.94255,0.87414,0.37131,0.46481,0.93027,0.000834822,0.000834822,0.000834822
44,574.249,0.50181,0.5803,1.04121,0.86496,0.89851,0.94994,0.88075,0.36339,0.43932,0.9326,0.000820675,0.000820675,0.000820675
45,587.078,0.49408,0.5751,1.04367,0.90595,0.85629,0.94866,0.88751,0.3548,0.48997,0.92644,0.000806528,0.000806528,0.000806528
46,600.231,0.48949,0.56459,1.03212,0.84734,0.90113,0.94712,0.88525,0.35468,0.42829,0.91842,0.00079238,0.00079238,0.00079238
47,613.122,0.48332,0.56777,1.03464,0.91229,0.8671,0.95416,0.89462,0.35185,0.42444,0.90316,0.000778233,0.000778233,0.000778233
48,626.551,0.47307,0.55443,1.03155,0.9,0.88122,0.95312,0.89472,0.36258,0.43395,0.9131,0.000764086,0.000764086,0.000764086
49,639.346,0.47212,0.54398,1.02494,0.89607,0.91734,0.95128,0.88993,0.35186,0.43019,0.89864,0.000749939,0.000749939,0.000749939
50,652.29,0.47287,0.55075,1.03058,0.90391,0.89513,0.95783,0.89489,0.34696,0.40734,0.91444,0.000735792,0.000735792,0.000735792
51,665.399,0.47101,0.53819,1.03209,0.89156,0.90123,0.95974,0.90477,0.3361,0.40515,0.91229,0.000721645,0.000721645,0.000721645
52,678.634,0.4573,0.52643,1.02108,0.91508,0.87187,0.95788,0.89754,0.34279,0.4353,0.91085,0.000707498,0.000707498,0.000707498
53,691.464,0.45858,0.53776,1.02066,0.86185,0.89148,0.94886,0.88888,0.34369,0.43592,0.91446,0.000693351,0.000693351,0.000693351
