epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.84517,0.69305,1.60574,1.19543,0.58934,0.73029,0.6402,0.53062,0.61304,1.44383,1.14483,0.000471473,0.000471473,0.000471473
2,18.4052,0.78182,1.07009,1.20882,0.60617,0.68969,0.62775,0.45193,0.89343,2.86866,1.42442,0.000938423,0.000938423,0.000938423
3,27.5415,0.8037,1.06702,1.22839,0.67395,0.71111,0.68333,0.52842,0.82385,1.41654,1.32924,0.00139594,0.00139594,0.00139594
4,35.9005,0.80578,1.00694,1.22521,0.80064,0.74938,0.8308,0.67578,0.72398,1.07506,1.19646,0.00138656,0.00138656,0.00138656
5,44.1847,0.77068,0.98293,1.20013,0.77434,0.68109,0.80193,0.65728,0.69116,1.22112,1.17237,0.00137241,0.00137241,0.00137241
6,51.9404,0.7297,0.90748,1.18112,0.75098,0.73189,0.80324,0.66383,0.66334,1.11428,1.16442,0.00135826,0.00135826,0.00135826
7,60.2931,0.70381,0.90388,1.16237,0.83589,0.7431,0.85522,0.73807,0.56385,0.86941,1.05415,0.00134412,0.00134412,0.00134412
8,68.4233,0.69018,0.85303,1.14961,0.84725,0.78157,0.87506,0.76391,0.59974,0.73989,1.11238,0.00132997,0.00132997,0.00132997
9,76.4478,0.66626,0.81698,1.13586,0.8117,0.7825,0.88239,0.77636,0.53095,0.68044,1.0303,0.00131582,0.00131582,0.00131582
10,84.8536,0.66881,0.80693,1.14153,0.77815,0.82819,0.86044,0.71125,0.65591,0.8122,1.16093,0.00130168,0.00130168,0.00130168
11,93.6002,0.66422,0.77995,1.13547,0.83682,0.79346,0.87667,0.76611,0.54373,0.75692,1.06479,0.00128753,0.00128753,0.00128753
12,101.668,0.63195,0.77035,1.12118,0.91104,0.78286,0.91849,0.81629,0.51843,0.58144,1.02105,0.00127338,0.00127338,0.00127338
13,109.822,0.6516,0.79313,1.13434,0.8713,0.77474,0.89292,0.79276,0.495,0.67782,1.01641,0.00125923,0.00125923,0.00125923
14,118.08,0.63582,0.75793,1.11734,0.85606,0.84059,0.90223,0.79476,0.52258,0.7619,1.04152,0.00124509,0.00124509,0.00124509
15,126.115,0.62187,0.76102,1.10858,0.79445,0.82823,0.89386,0.781,0.51897,0.65193,1.03612,0.00123094,0.00123094,0.00123094
16,134.438,0.60599,0.71506,1.09716,0.89816,0.82569,0.9061,0.81431,0.49384,0.56558,1.00189,0.00121679,0.00121679,0.00121679
17,142.489,0.6008,0.71867,1.09467,0.8627,0.87208,0.93825,0.83398,0.49434,0.58482,1.01208,0.00120265,0.00120265,0.00120265
18,150.603,0.59432,0.73079,1.1005,0.8501,0.84307,0.93038,0.8448,0.44035,0.59567,0.96531,0.0011885,0.0011885,0.0011885
19,158.871,0.58182,0.72339,1.08127,0.85102,0.88134,0.92818,0.85561,0.40806,0.56625,0.93544,0.00117435,0.00117435,0.00117435
20,167.515,0.57523,0.70429,1.08463,0.87057,0.87767,0.92947,0.8492,0.4607,0.53872,0.97199,0.00116021,0.00116021,0.00116021
21,175.624,0.57193,0.6748,1.08077,0.85279,0.8646,0.9178,0.83571,0.43303,0.55804,0.95973,0.00114606,0.00114606,0.00114606
22,183.059,0.56718,0.68118,1.07714,0.91127,0.80266,0.92113,0.83879,0.44494,0.55534,0.97277,0.00113191,0.00113191,0.00113191
23,190.88,0.55218,0.63898,1.06254,0.88154,0.8824,0.93143,0.85567,0.42128,0.51192,0.95497,0.00111776,0.00111776,0.00111776
24,199.625,0.54826,0.64821,1.06154,0.81423,0.82855,0.90954,0.83311,0.42612,0.58751,0.94535,0.00110362,0.00110362,0.00110362
25,208.004,0.56052,0.64139,1.06605,0.82018,0.88452,0.91236,0.84054,0.4149,0.66643,0.93977,0.00108947,0.00108947,0.00108947
26,216.259,0.54587,0.63591,1.06075,0.84907,0.86252,0.91998,0.84979,0.41235,0.52937,0.94581,0.00107532,0.00107532,0.00107532
27,224.726,0.54183,0.62154,1.05689,0.79637,0.87812,0.91961,0.85001,0.4171,0.54906,0.95368,0.00106118,0.00106118,0.00106118
28,233.211,0.5284,0.62007,1.05207,0.88281,0.87652,0.93902,0.86864,0.39093,0.52353,0.92558,0.00104703,0.00104703,0.00104703
29,241.268,0.53234,0.61902,1.05809,0.88071,0.87687,0.9318,0.84837,0.42191,0.54391,0.95515,0.00103288,0.00103288,0.00103288
30,249.132,0.52435,0.62584,1.05121,0.86179,0.867,0.9295,0.86379,0.38515,0.50227,0.92124,0.00101873,0.00101873,0.00101873
