epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.3516,0.57229,1.05896,1.50044,1.07549,0.4066,0.47811,0.37297,0.17624,0.28077,0.3735,0.22813,0.07988,1.86945,20.5247,5.40564,3.09182,0.000471473,0.000471473,0.000471473
2,119.49,0.72043,1.23772,1.23943,1.16254,0.67932,0.13253,0.0133,0.00464,0.00998,0.2302,0.00783,0.00293,1.8921,10.7395,42.1467,2.92035,0.000932167,0.000932167,0.000932167
3,177.609,0.75175,1.27331,1.19193,1.17233,0.45089,0.65693,0.5333,0.34693,0.44627,0.63685,0.50791,0.31866,1.06885,3.79768,5.59603,1.67618,0.00137714,0.00137714,0.00137714
4,235.892,0.70126,1.15424,1.10134,1.1419,0.7859,0.72511,0.79813,0.65399,0.7859,0.72511,0.79833,0.66708,0.67598,1.73173,2.98868,1.20118,0.00135826,0.00135826,0.00135826
5,293.798,0.64849,1.068,1.07345,1.10345,0.84255,0.76994,0.86547,0.74637,0.84143,0.76885,0.85289,0.72808,0.55502,1.66782,1.01911,1.07926,0.00133469,0.00133469,0.00133469
6,352.368,0.58917,0.89701,1.01022,1.08462,0.78848,0.73846,0.83701,0.70931,0.78202,0.72961,0.81566,0.66279,0.55799,1.66013,1.01943,1.10271,0.00131111,0.00131111,0.00131111
7,410.49,0.55635,0.96956,0.97177,1.05028,0.77634,0.84055,0.87465,0.78846,0.78047,0.83273,0.86632,0.7722,0.4891,1.2274,0.81701,1.03676,0.00128753,0.00128753,0.00128753
8,469.471,0.55009,0.93823,0.98871,1.05236,0.71328,0.66618,0.76972,0.70488,0.71255,0.66399,0.76623,0.6812,0.43256,1.48082,1.57294,0.98422,0.00126395,0.00126395,0.00126395
9,528.125,0.54376,0.91041,0.91548,1.05427,0.86763,0.81132,0.88768,0.77794,0.86947,0.80371,0.87366,0.75872,0.49599,1.2662,0.80205,1.02707,0.00124037,0.00124037,0.00124037
10,586.742,0.52786,0.85911,0.87376,1.04222,0.90255,0.8365,0.93093,0.86291,0.90051,0.8346,0.92549,0.84059,0.37335,1.12221,0.62949,0.92922,0.00121679,0.00121679,0.00121679
11,645.409,0.49899,0.80516,0.89194,1.02841,0.87546,0.81562,0.90189,0.83163,0.87303,0.80977,0.89332,0.81128,0.40891,1.11304,0.65989,0.95321,0.00119322,0.00119322,0.00119322
