epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.51,0.56205,1.05122,1.58327,1.06806,0.31857,0.60033,0.36248,0.22791,0.31986,0.58645,0.34268,0.18073,1.27027,32.0678,6.5697,2.07701,0.000471473,0.000471473,0.000471473
2,98.5337,0.68656,1.19144,1.19188,1.12665,0.22381,0.36269,0.25787,0.13419,0.19813,0.32015,0.20938,0.09862,1.51876,4.48304,8.66327,2.0362,0.000932167,0.000932167,0.000932167
3,145.406,0.71333,1.24813,1.16969,1.14211,0.53653,0.59966,0.56171,0.36675,0.53235,0.59158,0.53162,0.30394,1.11947,3.73187,3.07756,1.70955,0.00137714,0.00137714,0.00137714
4,193.409,0.66332,1.06033,1.10481,1.10124,0.67329,0.70887,0.72263,0.5953,0.66735,0.70083,0.70708,0.51405,0.66208,2.28047,1.61778,1.19084,0.00135826,0.00135826,0.00135826
5,240.619,0.61276,0.9863,1.03497,1.07558,0.74722,0.79941,0.83976,0.70472,0.78947,0.74112,0.81367,0.69277,0.67336,1.82038,1.07836,1.16389,0.00133469,0.00133469,0.00133469
6,288.405,0.59211,0.8879,0.98988,1.077,0.82647,0.80997,0.89453,0.77708,0.82431,0.80677,0.87632,0.73276,0.52701,1.66128,0.98823,1.10223,0.00131111,0.00131111,0.00131111
7,336.198,0.5534,0.93117,0.94561,1.04134,0.74656,0.7553,0.81753,0.67417,0.74928,0.75698,0.8155,0.67397,0.63726,1.34667,1.11226,1.18171,0.00128753,0.00128753,0.00128753
8,384.343,0.54041,0.87552,0.94366,1.03405,0.85132,0.82997,0.89304,0.80967,0.86322,0.83501,0.89522,0.80346,0.46291,1.0382,0.83898,0.99112,0.00126395,0.00126395,0.00126395
9,432.554,0.52403,0.84309,0.87072,1.03528,0.8344,0.82954,0.89741,0.79944,0.8344,0.82954,0.88971,0.80138,0.47577,0.95769,0.725,0.99624,0.00124037,0.00124037,0.00124037
10,480.825,0.50183,0.79553,0.83957,1.01374,0.83636,0.83299,0.90128,0.83048,0.86552,0.80602,0.89693,0.82195,0.41049,1.06655,0.69056,0.94854,0.00121679,0.00121679,0.00121679
11,529.239,0.48411,0.7613,0.83674,1.01031,0.79488,0.80236,0.90061,0.81558,0.79702,0.78757,0.88329,0.77519,0.44356,1.19486,0.74271,0.98434,0.00119322,0.00119322,0.00119322
12,577.748,0.50048,0.82072,0.84277,1.01851,0.72128,0.85173,0.90632,0.82565,0.71684,0.84786,0.90072,0.82566,0.41269,0.89938,0.70232,0.9732,0.00116964,0.00116964,0.00116964
13,626.108,0.47833,0.7485,0.79214,1.00863,0.90609,0.83859,0.92162,0.85143,0.90391,0.83714,0.91628,0.85064,0.40833,0.96784,0.59665,0.95459,0.00114606,0.00114606,0.00114606
14,674.75,0.43935,0.69768,0.7586,0.97573,0.84543,0.84831,0.92213,0.85059,0.84094,0.84297,0.91115,0.82954,0.3973,1.01831,0.73859,0.97125,0.00112248,0.00112248,0.00112248
15,723.088,0.42874,0.63459,0.74912,0.97651,0.89261,0.86497,0.94046,0.8808,0.89261,0.86497,0.93372,0.87849,0.33786,0.78753,0.53138,0.91088,0.0010989,0.0010989,0.0010989
16,771.842,0.41985,0.61509,0.74537,0.97516,0.89545,0.8081,0.91383,0.84638,0.81359,0.8585,0.90754,0.84401,0.36727,0.8271,0.63209,0.92912,0.00107532,0.00107532,0.00107532
17,819.995,0.4216,0.64901,0.71678,0.97616,0.94303,0.86831,0.95398,0.88597,0.93877,0.86744,0.94844,0.88422,0.36315,0.79237,0.52388,0.92492,0.00105174,0.00105174,0.00105174
18,868.761,0.40615,0.60949,0.68748,0.96181,0.92085,0.8761,0.94601,0.89782,0.92085,0.8761,0.93892,0.86403,0.32388,0.92177,0.50072,0.89638,0.00102817,0.00102817,0.00102817
19,916.853,0.39388,0.60869,0.71061,0.97225,0.87991,0.86263,0.93712,0.88453,0.87343,0.85589,0.92611,0.87436,0.3268,0.90921,0.495,0.90481,0.00100459,0.00100459,0.00100459
20,965.276,0.39214,0.63577,0.70896,0.95422,0.93053,0.84101,0.94636,0.88966,0.93053,0.84101,0.94064,0.88587,0.35545,0.82006,0.54183,0.90865,0.000981008,0.000981008,0.000981008
21,1013.43,0.37886,0.58861,0.66607,0.95301,0.88873,0.89018,0.93861,0.88888,0.887,0.88827,0.93061,0.8806,0.31095,0.72663,0.4743,0.8857,0.00095743,0.00095743,0.00095743
22,1061.56,0.38811,0.60897,0.65952,0.96408,0.88532,0.88319,0.93753,0.88627,0.87659,0.87502,0.92951,0.87796,0.33312,0.74807,0.48593,0.9149,0.000933851,0.000933851,0.000933851
23,1109.42,0.37962,0.60012,0.65154,0.94908,0.91106,0.89219,0.94563,0.90145,0.9142,0.88527,0.93851,0.88682,0.31836,0.81906,0.49811,0.90115,0.000910273,0.000910273,0.000910273
24,1157.86,0.35657,0.54961,0.61891,0.93631,0.9018,0.89691,0.95245,0.90049,0.89345,0.88827,0.94334,0.89568,0.3083,0.86858,0.48105,0.88493,0.000886694,0.000886694,0.000886694
25,1205.87,0.35998,0.56511,0.6303,0.94659,0.88829,0.88528,0.95218,0.90903,0.88829,0.88528,0.94708,0.89913,0.28089,0.74602,0.52766,0.86696,0.000863116,0.000863116,0.000863116
26,1254.34,0.35117,0.51883,0.60568,0.94241,0.88852,0.8424,0.94416,0.90847,0.88619,0.84091,0.93698,0.88831,0.28846,0.76714,0.49673,0.86061,0.000839537,0.000839537,0.000839537
27,1302.39,0.3527,0.51984,0.62643,0.93488,0.90193,0.8777,0.94976,0.91555,0.89866,0.87389,0.94068,0.88773,0.28729,0.76786,0.4723,0.85871,0.000815959,0.000815959,0.000815959
28,1350.62,0.34694,0.49451,0.60661,0.93665,0.89717,0.88949,0.95096,0.9163,0.89543,0.8855,0.94464,0.89995,0.27259,0.75878,0.45619,0.85547,0.00079238,0.00079238,0.00079238
29,1398.95,0.3421,0.49558,0.57588,0.92977,0.9043,0.90723,0.96313,0.92136,0.90066,0.90332,0.95255,0.90119,0.28091,0.71727,0.40009,0.85871,0.000768802,0.000768802,0.000768802
30,1447.44,0.33854,0.50247,0.58954,0.93274,0.90632,0.88395,0.9566,0.92167,0.90541,0.88002,0.95114,0.9045,0.25804,0.7814,0.45334,0.84713,0.000745223,0.000745223,0.000745223
31,1495.59,0.34169,0.58253,0.59052,0.93151,0.91898,0.88851,0.96165,0.92807,0.91443,0.88368,0.95513,0.91937,0.26282,0.70645,0.41728,0.84951,0.000721645,0.000721645,0.000721645
32,1544.05,0.32455,0.44211,0.56692,0.92196,0.94529,0.87895,0.96003,0.92418,0.94334,0.87705,0.95481,0.91408,0.29562,0.85775,0.39622,0.87739,0.000698066,0.000698066,0.000698066
33,1592.05,0.32825,0.45873,0.5865,0.92946,0.90002,0.89344,0.95467,0.92213,0.89339,0.8867,0.94831,0.91014,0.25967,0.65093,0.42159,0.84743,0.000674488,0.000674488,0.000674488
34,1639.98,0.31984,0.46458,0.58359,0.92142,0.93395,0.87213,0.95659,0.91791,0.93249,0.86885,0.95025,0.91375,0.26481,0.63777,0.40787,0.84943,0.000650909,0.000650909,0.000650909
35,1688.51,0.30837,0.46223,0.57018,0.9267,0.88409,0.86063,0.9473,0.91887,0.8782,0.85323,0.94092,0.89146,0.24553,0.82349,0.50427,0.82816,0.000627331,0.000627331,0.000627331
36,1736.79,0.3187,0.43908,0.55254,0.9237,0.94742,0.87477,0.95942,0.93202,0.94742,0.87477,0.95381,0.9151,0.25082,0.62696,0.40498,0.83706,0.000603752,0.000603752,0.000603752
37,1784.81,0.30505,0.50267,0.54207,0.9111,0.9438,0.85854,0.95809,0.93204,0.94161,0.85664,0.94748,0.90731,0.24394,0.69259,0.39099,0.83587,0.000580174,0.000580174,0.000580174
