epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.54579,1.31403,1.83547,4.23011,0.89676,0.00622,0.30997,0.00508,0.00313,0.00854,0.42588,0.00693,0.00399,1.08477,1.44808,3.65615,0.90804,6e-05,6e-05,6e-05
2,9.98538,1.17476,1.73384,4.0266,0.91379,0.57734,0.62225,0.61204,0.30897,0.4703,0.42049,0.4,0.1309,1.32285,2.08029,1.52263,0.84872,0.00013769,0.00013769,0.00013769
3,14.8618,1.23777,2.79657,2.17847,0.83485,0.73458,0.68733,0.72671,0.49732,0.69435,0.64293,0.664,0.33642,0.91754,1.06294,1.25625,0.84818,0.00021274,0.00021274,0.00021274
4,19.8517,1.142,1.22408,1.43147,0.8378,0.50191,0.73585,0.52457,0.28267,0.47641,0.67385,0.43624,0.19943,1.13669,1.16804,1.39034,0.87903,0.00028515,0.00028515,0.00028515
5,24.575,1.09584,1.2547,1.07604,0.846,0.34283,0.2938,0.27316,0.14758,0.26106,0.22372,0.16488,0.05461,1.6334,2.6303,2.00092,0.95138,0.00035492,0.00035492,0.00035492
6,29.1982,1.07061,1.44451,0.88891,0.84724,0.01133,0.26685,0.00718,0.00415,0.00984,0.23181,0.00608,0.00263,2.41943,5.90554,171.662,1.17387,0.00042205,0.00042205,0.00042205
7,34.0204,1.01275,1.11587,0.88696,0.83404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56411,137.912,inf,55.5645,0.00048654,0.00048654,0.00048654
8,38.7049,0.98584,1.08783,0.78217,0.84708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.00054839,0.00054839,0.00054839
9,43.2107,0.99977,1.08401,0.72657,0.87516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0006076,0.0006076,0.0006076
10,47.7719,1.08739,1.14161,0.71273,0.82056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.00066417,0.00066417,0.00066417
11,52.2854,1.09703,1.19212,0.72131,0.83199,0.0,0.0,0.0,0.0,5e-05,0.0027,3e-05,0.0,,,,,0.0007181,0.0007181,0.0007181
12,57.0154,1.1221,1.16437,0.85088,0.86786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.00076939,0.00076939,0.00076939
13,61.5434,0.92562,0.99652,0.77989,0.8461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.00081804,0.00081804,0.00081804
14,65.9709,0.94437,1.02969,0.85477,0.84348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.00086405,0.00086405,0.00086405
15,70.6895,1.05694,1.10874,0.80437,0.83877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.00090742,0.00090742,0.00090742
16,75.3054,1.0298,0.97243,0.6343,0.81354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.00094815,0.00094815,0.00094815
17,79.5163,0.92298,1.19257,0.64246,0.84684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.00098624,0.00098624,0.00098624
18,83.7877,1.04727,1.16623,0.70808,0.81889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.00102169,0.00102169,0.00102169
19,88.0761,0.90366,0.90141,0.71908,0.83681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0010545,0.0010545,0.0010545
