epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.86877,1.30261,1.78185,3.02018,0.90155,0.6839,0.07008,0.3722,0.24653,0.57736,0.06261,0.32722,0.15366,1.07184,1.44818,2.49215,0.93167,6e-05,6e-05,6e-05
2,8.36686,1.126,1.69268,2.4961,0.92153,0.61466,0.81671,0.73857,0.43485,0.47209,0.63881,0.51707,0.21138,1.04949,1.32934,4.41361,0.85051,0.00013769,0.00013769,0.00013769
3,12.4514,1.09592,1.64072,2.65702,0.82468,0.81433,0.83558,0.86178,0.55995,0.75212,0.76058,0.76062,0.3585,1.02798,1.26254,0.90497,0.83731,0.00021274,0.00021274,0.00021274
4,16.7991,1.11681,1.23668,1.2664,0.83394,0.58494,0.68756,0.62573,0.40595,0.54851,0.59599,0.54254,0.26051,0.95046,1.08828,1.09216,0.83982,0.00028515,0.00028515,0.00028515
5,20.8478,1.13037,1.10479,1.2986,0.84889,0.08341,0.75472,0.07986,0.04035,0.06244,0.56604,0.0518,0.01936,1.2659,1.47231,43.1828,0.88708,0.00035492,0.00035492,0.00035492
6,24.6351,1.00592,1.13918,1.00178,0.83471,0.85183,0.74382,0.82316,0.56294,0.82417,0.68226,0.73107,0.39434,0.98466,1.20108,0.80762,0.85817,0.00042205,0.00042205,0.00042205
7,28.6357,0.9761,1.14237,0.87677,0.82402,0.26335,0.66038,0.24396,0.14626,0.24204,0.5903,0.20431,0.08895,1.16955,1.61045,2.3421,0.87744,0.00048654,0.00048654,0.00048654
8,32.6152,0.99122,1.24099,0.84926,0.83883,0.01248,0.531,0.01032,0.00535,0.01039,0.44205,0.00796,0.00316,1.68227,30.8882,31.8215,1.00982,0.00054839,0.00054839,0.00054839
9,36.4107,1.02854,1.17045,0.73249,0.86699,0.41961,0.39892,0.30401,0.19744,0.41872,0.37466,0.28122,0.14913,1.21566,2.79382,1.92837,0.89794,0.0006076,0.0006076,0.0006076
10,40.1835,1.07399,0.95419,0.7846,0.81697,0.3572,0.15903,0.13237,0.09138,0.33904,0.15094,0.1208,0.05778,1.63107,6.31727,2.70474,1.11844,0.00066417,0.00066417,0.00066417
11,43.9224,1.01818,1.1997,0.66396,0.82512,0.10497,0.09973,0.02733,0.01914,0.10214,0.09704,0.02559,0.01305,nan,nan,nan,nan,0.0007181,0.0007181,0.0007181
12,47.972,1.10553,1.19935,0.81495,0.84966,0.00317,0.15903,0.00184,0.00121,0.00274,0.13747,0.00156,0.00078,2.09858,153.357,219.774,1.72636,0.00076939,0.00076939,0.00076939
13,51.7243,0.84627,0.97067,0.70623,0.82065,6e-05,0.0027,3e-05,0,0,0,0,0,nan,nan,nan,nan,0.00081804,0.00081804,0.00081804
14,55.4636,0.88215,0.92394,0.68908,0.83818,5e-05,0.0027,3e-05,1e-05,5e-05,0.0027,3e-05,2e-05,nan,nan,nan,nan,0.00086405,0.00086405,0.00086405
15,59.1641,1.0143,1.12644,0.7397,0.83291,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00090742,0.00090742,0.00090742
16,62.8406,0.91822,0.98395,0.63576,0.80715,0.00129,0.06469,0.00069,0.00035,0.0007,0.03504,0.00036,0.00012,3.10211,1578.34,inf,6.39558,0.00094815,0.00094815,0.00094815
17,66.5436,0.84856,1.03568,0.62983,0.83224,0.00368,0.18329,0.00219,0.00125,0.00319,0.15903,0.00186,0.00096,2.34541,918.092,inf,2.06261,0.00098624,0.00098624,0.00098624
