epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.0867,0.80065,1.50608,1.2795,0.2012,0.08367,0.06751,0.03149,3.39924,4.49819,7.75649,0.000471473,0.000471473,0.000471473
2,93.1198,1.01622,1.35678,1.42006,0.56529,0.36808,0.33378,0.19818,1.88034,9.15809,2.54123,0.000932167,0.000932167,0.000932167
3,138.363,0.98581,1.27504,1.37683,0.46322,0.46103,0.45708,0.25999,1.713,2.86786,2.54284,0.00137714,0.00137714,0.00137714
4,183.221,0.95106,1.21784,1.34567,0.66088,0.65866,0.71904,0.51805,0.99226,1.64122,1.73877,0.00135826,0.00135826,0.00135826
5,228.036,0.87058,1.12144,1.30562,0.72988,0.677,0.77264,0.62823,0.74632,1.13806,1.24613,0.00133469,0.00133469,0.00133469
6,273.259,0.86289,1.08735,1.30524,0.87003,0.46886,0.66845,0.49493,0.92089,1.73325,1.49944,0.00131111,0.00131111,0.00131111
7,317.945,0.78111,1.03368,1.23727,0.83263,0.66734,0.81746,0.70319,0.59965,1.09296,1.10042,0.00128753,0.00128753,0.00128753
8,363.292,0.76594,1.01501,1.22332,0.80589,0.78419,0.85287,0.72629,0.61203,0.89408,1.11025,0.00126395,0.00126395,0.00126395
9,408.383,0.72973,0.97986,1.19637,0.81235,0.72176,0.83467,0.73077,0.56008,0.85378,1.06013,0.00124037,0.00124037,0.00124037
10,453.734,0.75632,0.95316,1.21539,0.79054,0.77114,0.85216,0.73458,0.59037,0.79788,1.11796,0.00121679,0.00121679,0.00121679
11,499.078,0.72349,0.94097,1.19856,0.75161,0.7775,0.85249,0.74255,0.57276,0.75684,1.09682,0.00119322,0.00119322,0.00119322
12,544.242,0.71664,0.92505,1.18827,0.72263,0.78382,0.85063,0.75002,0.52867,0.77041,1.04075,0.00116964,0.00116964,0.00116964
13,589.939,0.71439,0.91423,1.19838,0.84182,0.77088,0.88286,0.78311,0.53412,0.82879,1.02287,0.00114606,0.00114606,0.00114606
14,635.081,0.68032,0.88695,1.16009,0.85334,0.75391,0.87322,0.75656,0.57787,1.11755,1.11878,0.00112248,0.00112248,0.00112248
15,680.196,0.62617,0.8173,1.12883,0.8507,0.81573,0.89805,0.81577,0.46508,0.6215,1.00012,0.0010989,0.0010989,0.0010989
16,725.551,0.63448,0.84811,1.14831,0.88577,0.85096,0.92376,0.84086,0.43858,0.54551,0.98588,0.00107532,0.00107532,0.00107532
17,770.715,0.62825,0.81331,1.13054,0.79887,0.7828,0.88107,0.79956,0.44194,0.69665,0.96601,0.00105174,0.00105174,0.00105174
18,816.217,0.61889,0.81054,1.12914,0.88568,0.83699,0.92251,0.8467,0.43849,0.54079,0.97165,0.00102817,0.00102817,0.00102817
19,861.495,0.60208,0.78995,1.13428,0.8496,0.87075,0.91435,0.84397,0.42194,0.55498,0.97329,0.00100459,0.00100459,0.00100459
20,907.149,0.6042,0.79688,1.12378,0.84628,0.85487,0.89975,0.81939,0.44764,0.60555,0.97317,0.000981008,0.000981008,0.000981008
21,951.943,0.61053,0.7784,1.12085,0.90703,0.8109,0.91021,0.83055,0.42978,0.62594,0.97129,0.00095743,0.00095743,0.00095743
22,997.063,0.59769,0.74623,1.1207,0.86619,0.8545,0.9265,0.85149,0.43387,0.52983,0.97113,0.000933851,0.000933851,0.000933851
23,1042.45,0.57668,0.75097,1.09506,0.88197,0.85305,0.92548,0.8572,0.41042,0.52153,0.95166,0.000910273,0.000910273,0.000910273
24,1087.64,0.56187,0.72233,1.09148,0.87921,0.85014,0.92371,0.84578,0.42881,0.5714,0.97666,0.000886694,0.000886694,0.000886694
25,1132.62,0.56597,0.72525,1.09865,0.85655,0.90208,0.92286,0.84962,0.40778,0.5162,0.96512,0.000863116,0.000863116,0.000863116
26,1177.6,0.56364,0.71998,1.10048,0.85682,0.84643,0.92477,0.85457,0.39071,0.53463,0.94338,0.000839537,0.000839537,0.000839537
27,1222.52,0.544,0.70564,1.07542,0.89934,0.82669,0.92406,0.84968,0.40634,0.52583,0.93036,0.000815959,0.000815959,0.000815959
28,1267.46,0.53702,0.67192,1.0833,0.85126,0.88757,0.9386,0.87473,0.37382,0.48094,0.93195,0.00079238,0.00079238,0.00079238
29,1312.62,0.5407,0.68672,1.07902,0.90942,0.79678,0.92144,0.8463,0.40647,0.54587,0.95411,0.000768802,0.000768802,0.000768802
30,1357.86,0.53877,0.69325,1.08047,0.89435,0.88297,0.94058,0.87353,0.38234,0.47347,0.91578,0.000745223,0.000745223,0.000745223
31,1402.93,0.53338,0.67776,1.08049,0.89827,0.84505,0.93631,0.87019,0.38611,0.49088,0.93203,0.000721645,0.000721645,0.000721645
32,1448.03,0.52999,0.66692,1.0726,0.93244,0.80112,0.94005,0.87694,0.37526,0.55281,0.91982,0.000698066,0.000698066,0.000698066
33,1493.02,0.52908,0.66722,1.07482,0.91002,0.86755,0.93677,0.88281,0.35618,0.46408,0.90412,0.000674488,0.000674488,0.000674488
34,1538.27,0.52266,0.65756,1.06456,0.87633,0.87197,0.93298,0.86573,0.37375,0.4947,0.94364,0.000650909,0.000650909,0.000650909
