epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.8698,0.77383,1.622,1.26815,0.63026,0.4808,0.52609,0.35546,1.11375,2.5466,1.66393,0.000471473,0.000471473,0.000471473
2,71.5969,0.93893,1.30144,1.34318,0.11182,0.21154,0.07084,0.0287,2.9009,9.47645,3.57574,0.000932167,0.000932167,0.000932167
3,106.586,0.96594,1.26038,1.34186,0.54682,0.66737,0.653,0.39649,1.33091,3.4207,2.05637,0.00137714,0.00137714,0.00137714
4,141.308,0.91761,1.15769,1.30575,0.52793,0.51096,0.49173,0.31259,1.20953,2.90288,1.79428,0.00135826,0.00135826,0.00135826
5,175.911,0.8496,1.11035,1.27568,0.7788,0.72429,0.80169,0.65474,0.7539,1.42237,1.26238,0.00133469,0.00133469,0.00133469
6,210.935,0.83707,1.06029,1.27779,0.77356,0.728,0.79377,0.64392,0.70624,1.44559,1.2084,0.00131111,0.00131111,0.00131111
7,246.167,0.75551,0.97197,1.20812,0.80973,0.71824,0.8105,0.67542,0.68048,1.2658,1.17593,0.00128753,0.00128753,0.00128753
8,281.228,0.75238,0.98929,1.20388,0.85832,0.76743,0.87043,0.74694,0.64544,0.81562,1.13293,0.00126395,0.00126395,0.00126395
9,316.248,0.72132,0.95145,1.19165,0.83114,0.76212,0.8283,0.68938,0.67475,0.94065,1.16878,0.00124037,0.00124037,0.00124037
10,350.985,0.72586,0.94587,1.1867,0.82903,0.80218,0.88131,0.77918,0.53105,0.70815,1.04031,0.00121679,0.00121679,0.00121679
11,385.844,0.70619,0.91958,1.17935,0.83286,0.8004,0.88301,0.76657,0.61326,0.73153,1.09357,0.00119322,0.00119322,0.00119322
12,420.512,0.69886,0.89841,1.17354,0.82344,0.81142,0.88236,0.78167,0.52961,0.72447,1.04345,0.00116964,0.00116964,0.00116964
13,455.43,0.69374,0.87861,1.17115,0.84118,0.85987,0.90947,0.81027,0.52284,0.65824,1.02564,0.00114606,0.00114606,0.00114606
14,490.347,0.64475,0.82965,1.13088,0.82875,0.75745,0.86402,0.73447,0.6818,0.99012,1.18946,0.00112248,0.00112248,0.00112248
15,524.925,0.62035,0.79977,1.11628,0.85543,0.78411,0.89847,0.80102,0.49446,0.69561,1.02176,0.0010989,0.0010989,0.0010989
16,559.811,0.63219,0.81518,1.13981,0.8534,0.8315,0.90793,0.80508,0.49813,0.66094,1.01971,0.00107532,0.00107532,0.00107532
17,594.367,0.62294,0.78787,1.1205,0.89922,0.8201,0.92161,0.82984,0.48256,0.61198,1.00828,0.00105174,0.00105174,0.00105174
18,629.266,0.60085,0.77071,1.11257,0.87303,0.82859,0.91371,0.81554,0.49535,0.70393,0.99818,0.00102817,0.00102817,0.00102817
19,663.89,0.59459,0.7458,1.12933,0.83096,0.85444,0.90622,0.82181,0.46555,0.63926,1.00288,0.00100459,0.00100459,0.00100459
20,698.525,0.5969,0.76119,1.11254,0.87129,0.82892,0.91779,0.83922,0.44529,0.62802,0.97251,0.000981008,0.000981008,0.000981008
21,733.444,0.59244,0.75099,1.10411,0.90131,0.83769,0.92685,0.84905,0.4474,0.54464,0.98143,0.00095743,0.00095743,0.00095743
22,768.332,0.57921,0.69467,1.10248,0.89529,0.86306,0.94218,0.87122,0.42416,0.5244,0.95607,0.000933851,0.000933851,0.000933851
23,803.159,0.57897,0.73587,1.09301,0.85454,0.82267,0.90894,0.83493,0.46583,0.59973,0.98655,0.000910273,0.000910273,0.000910273
24,837.788,0.56127,0.70601,1.07881,0.88126,0.87015,0.9442,0.8642,0.42788,0.5193,0.97256,0.000886694,0.000886694,0.000886694
25,872.321,0.56301,0.69857,1.08402,0.89995,0.83971,0.93609,0.86499,0.41317,0.5321,0.95274,0.000863116,0.000863116,0.000863116
26,907.222,0.55211,0.68528,1.0844,0.84504,0.89277,0.93788,0.87123,0.42259,0.51716,0.94817,0.000839537,0.000839537,0.000839537
27,941.828,0.53501,0.69611,1.06661,0.899,0.87192,0.94076,0.87242,0.42139,0.53069,0.95454,0.000815959,0.000815959,0.000815959
28,976.706,0.53677,0.65095,1.0732,0.87467,0.86035,0.94207,0.88002,0.38028,0.53277,0.91214,0.00079238,0.00079238,0.00079238
29,1012.4,0.52407,0.659,1.06392,0.88606,0.89948,0.94389,0.87227,0.43673,0.5202,0.96584,0.000768802,0.000768802,0.000768802
30,1047.14,0.54348,0.67232,1.07874,0.91201,0.86217,0.94302,0.86774,0.41389,0.51202,0.95826,0.000745223,0.000745223,0.000745223
31,1081.68,0.52839,0.66071,1.06818,0.87502,0.85105,0.9374,0.86885,0.41705,0.52692,0.93931,0.000721645,0.000721645,0.000721645
