epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1823,0.83347,2.86264,1.30508,0.00582,0.99061,0.2459,0.19249,0.59882,2.86598,1.02852,0.00045728,0.00045728,0.00045728
2,16.8263,0.84508,2.04591,1.2707,0.40535,0.31897,0.39385,0.32248,0.64307,2.23211,1.11583,0.000919654,0.000919654,0.000919654
3,22.1686,0.84387,1.64293,1.23676,0.42227,0.26051,0.30045,0.18797,1.06174,2.39877,1.55326,0.00137269,0.00137269,0.00137269
4,27.3734,0.82893,1.54931,1.22572,0.50124,0.60938,0.5132,0.34436,0.97765,2.21294,1.5113,0.00138656,0.00138656,0.00138656
5,32.5334,0.81685,1.44697,1.21677,0.53152,0.61178,0.60211,0.44393,0.81411,3.85968,1.30074,0.00137241,0.00137241,0.00137241
6,37.7886,0.80116,1.36924,1.20776,0.7142,0.6658,0.71895,0.55447,0.70709,2.44525,1.16145,0.00135826,0.00135826,0.00135826
7,44.3499,0.78819,1.30967,1.20494,0.7151,0.72029,0.77713,0.64286,0.65198,1.61948,1.10957,0.00134412,0.00134412,0.00134412
8,49.6519,0.75904,1.2662,1.17426,0.51454,0.62844,0.60556,0.52291,0.62635,2.19507,1.09474,0.00132997,0.00132997,0.00132997
9,54.7891,0.74731,1.1902,1.15767,0.54796,0.55291,0.58577,0.49388,0.59758,1.83584,1.05384,0.00131582,0.00131582,0.00131582
10,59.9572,0.74804,1.15883,1.17271,0.78257,0.78729,0.8481,0.70579,0.61227,1.16613,1.00946,0.00130168,0.00130168,0.00130168
11,65.1409,0.72044,1.12795,1.16026,0.83376,0.65073,0.81414,0.70942,0.54033,1.1967,0.98081,0.00128753,0.00128753,0.00128753
12,70.3155,0.73254,1.12608,1.166,0.81895,0.74145,0.86426,0.73458,0.58011,1.14072,1.04315,0.00127338,0.00127338,0.00127338
13,75.4053,0.67727,1.03802,1.12598,0.7644,0.76015,0.85061,0.72097,0.59299,1.08515,1.03025,0.00125923,0.00125923,0.00125923
14,80.5473,0.71096,1.05878,1.14878,0.80356,0.66274,0.8057,0.66462,0.65278,1.05629,1.09871,0.00124509,0.00124509,0.00124509
15,85.6881,0.69236,1.07357,1.1442,0.70043,0.74827,0.80507,0.66694,0.56755,1.1781,1.02267,0.00123094,0.00123094,0.00123094
16,91.1233,0.66018,0.99276,1.12124,0.8041,0.68579,0.8146,0.72139,0.49757,1.46727,0.96277,0.00121679,0.00121679,0.00121679
17,96.3101,0.64633,0.98307,1.1235,0.73519,0.71488,0.81904,0.73852,0.4513,1.05397,0.94074,0.00120265,0.00120265,0.00120265
18,101.452,0.67804,0.96959,1.1295,0.80521,0.78664,0.89568,0.77708,0.51792,0.93631,0.97114,0.0011885,0.0011885,0.0011885
19,106.694,0.68406,0.96929,1.13362,0.7416,0.84762,0.86491,0.76187,0.48743,0.89332,0.97847,0.00117435,0.00117435,0.00117435
20,111.829,0.64237,0.92651,1.11416,0.82167,0.77359,0.87502,0.76776,0.50249,0.84053,0.97147,0.00116021,0.00116021,0.00116021
21,117.286,0.63224,0.91332,1.11058,0.83177,0.81282,0.87351,0.76978,0.5044,0.87042,0.98833,0.00114606,0.00114606,0.00114606
22,122.506,0.63702,0.93263,1.09988,0.84113,0.73868,0.88142,0.76168,0.51672,0.85773,0.97589,0.00113191,0.00113191,0.00113191
23,127.652,0.62625,0.88059,1.08949,0.83963,0.72921,0.88316,0.79444,0.451,0.82263,0.94846,0.00111776,0.00111776,0.00111776
24,132.852,0.62512,0.90551,1.10925,0.88968,0.77001,0.89268,0.79572,0.44362,0.78752,0.91488,0.00110362,0.00110362,0.00110362
25,137.979,0.60789,0.8635,1.07637,0.86481,0.84644,0.92463,0.82621,0.47506,0.78094,0.94574,0.00108947,0.00108947,0.00108947
26,143.103,0.59561,0.82484,1.07228,0.85687,0.88658,0.9306,0.84696,0.43543,0.68233,0.91488,0.00107532,0.00107532,0.00107532
27,148.263,0.59264,0.80694,1.07306,0.87456,0.81643,0.90306,0.81795,0.44091,0.74755,0.9248,0.00106118,0.00106118,0.00106118
28,153.422,0.61162,0.82174,1.08046,0.75253,0.77892,0.88161,0.80105,0.45845,0.93682,0.92743,0.00104703,0.00104703,0.00104703
29,158.739,0.6094,0.80244,1.08774,0.83263,0.8732,0.90492,0.80709,0.46865,0.83542,0.96104,0.00103288,0.00103288,0.00103288
30,164.119,0.59668,0.78679,1.07161,0.88303,0.85835,0.91488,0.82762,0.42233,0.6748,0.91703,0.00101873,0.00101873,0.00101873
31,169.221,0.58539,0.80475,1.07778,0.90013,0.82266,0.92374,0.82853,0.42706,0.62923,0.91414,0.00100459,0.00100459,0.00100459
32,174.323,0.59124,0.76951,1.06897,0.86096,0.79677,0.90848,0.82147,0.45711,0.77118,0.93468,0.00099044,0.00099044,0.00099044
33,179.449,0.56563,0.75501,1.05492,0.81739,0.81576,0.91749,0.82401,0.42943,0.81493,0.9134,0.000976293,0.000976293,0.000976293
34,184.527,0.55783,0.7395,1.05117,0.87224,0.80472,0.91111,0.7991,0.5141,0.67977,1.00429,0.000962146,0.000962146,0.000962146
35,189.598,0.56417,0.7596,1.06002,0.84881,0.70413,0.82594,0.74859,0.4334,0.86491,0.92508,0.000947999,0.000947999,0.000947999
36,195.002,0.56545,0.73039,1.05261,0.88503,0.73075,0.89219,0.80611,0.41831,0.78758,0.9137,0.000933851,0.000933851,0.000933851
37,200.071,0.56796,0.76318,1.06569,0.83896,0.7771,0.89747,0.80269,0.41738,0.71492,0.91869,0.000919704,0.000919704,0.000919704
38,205.105,0.54529,0.71542,1.05003,0.87141,0.81504,0.91503,0.83447,0.42763,0.68082,0.92354,0.000905557,0.000905557,0.000905557
39,210.196,0.55466,0.72978,1.06175,0.78738,0.81468,0.91016,0.83701,0.43442,0.72579,0.93377,0.00089141,0.00089141,0.00089141
40,215.274,0.56822,0.70034,1.06032,0.80416,0.81823,0.91479,0.84236,0.42112,0.64587,0.89442,0.000877263,0.000877263,0.000877263
41,220.356,0.54679,0.69419,1.05188,0.82281,0.83241,0.9311,0.84208,0.43456,0.62503,0.91548,0.000863116,0.000863116,0.000863116
42,225.457,0.55485,0.6964,1.05818,0.81003,0.83456,0.90315,0.82585,0.39923,0.74757,0.89648,0.000848969,0.000848969,0.000848969
43,230.547,0.53585,0.68725,1.04782,0.88723,0.79809,0.9007,0.83049,0.41112,0.79107,0.88425,0.000834822,0.000834822,0.000834822
44,235.596,0.54827,0.70076,1.05336,0.88624,0.85698,0.93228,0.84539,0.42204,0.60877,0.90839,0.000820675,0.000820675,0.000820675
45,240.949,0.52906,0.66011,1.05111,0.79865,0.83666,0.89109,0.82668,0.39707,0.81605,0.89216,0.000806528,0.000806528,0.000806528
46,246.646,0.53274,0.65637,1.03602,0.85587,0.84655,0.91939,0.84809,0.39194,0.61681,0.8842,0.00079238,0.00079238,0.00079238
47,251.698,0.53039,0.66538,1.04246,0.84615,0.76941,0.89619,0.8207,0.40364,0.69743,0.89714,0.000778233,0.000778233,0.000778233
48,256.791,0.53043,0.65353,1.03891,0.90093,0.80028,0.92178,0.85605,0.3896,0.5903,0.89588,0.000764086,0.000764086,0.000764086
49,261.802,0.51855,0.66205,1.03983,0.82881,0.84041,0.91451,0.84832,0.38664,0.5929,0.90644,0.000749939,0.000749939,0.000749939
50,266.864,0.52494,0.62492,1.04328,0.88349,0.82323,0.92062,0.85258,0.3837,0.66137,0.87531,0.000735792,0.000735792,0.000735792
51,272.227,0.52309,0.63833,1.03558,0.84763,0.78125,0.91298,0.84494,0.38417,0.6064,0.89497,0.000721645,0.000721645,0.000721645
52,277.357,0.51726,0.62506,1.03295,0.88251,0.77381,0.86402,0.79732,0.39615,0.75263,0.90303,0.000707498,0.000707498,0.000707498
53,282.371,0.51864,0.62736,1.02618,0.88379,0.80825,0.91956,0.84204,0.42605,0.70547,0.91144,0.000693351,0.000693351,0.000693351
54,287.426,0.51509,0.60593,1.03761,0.86658,0.86473,0.92762,0.856,0.4017,0.61581,0.89975,0.000679204,0.000679204,0.000679204
55,292.707,0.505,0.61111,1.01383,0.82896,0.85697,0.93497,0.85625,0.43057,0.64745,0.92283,0.000665057,0.000665057,0.000665057
56,297.819,0.49985,0.60976,1.02449,0.90342,0.83419,0.94495,0.86152,0.44362,0.51322,0.93711,0.000650909,0.000650909,0.000650909
57,302.926,0.49496,0.59454,1.01881,0.89001,0.85486,0.93533,0.87486,0.37883,0.58085,0.87837,0.000636762,0.000636762,0.000636762
58,308.032,0.48335,0.56668,1.00495,0.92853,0.75111,0.91123,0.85717,0.38511,0.64091,0.88448,0.000622615,0.000622615,0.000622615
59,313.041,0.51182,0.60714,1.0275,0.88157,0.80968,0.91747,0.85048,0.37897,0.60841,0.88813,0.000608468,0.000608468,0.000608468
60,318.19,0.47319,0.56303,1.01176,0.90374,0.80308,0.93493,0.86088,0.389,0.72374,0.89569,0.000594321,0.000594321,0.000594321
61,323.3,0.46608,0.59307,1.00954,0.89221,0.86393,0.92897,0.86008,0.38182,0.55899,0.88338,0.000580174,0.000580174,0.000580174
62,328.354,0.46349,0.56464,1.00311,0.89714,0.86919,0.93341,0.86083,0.38544,0.56436,0.89555,0.000566027,0.000566027,0.000566027
63,333.35,0.47338,0.5649,1.00672,0.85672,0.87363,0.93584,0.87028,0.35657,0.54427,0.87076,0.00055188,0.00055188,0.00055188
64,338.411,0.45916,0.55048,0.99656,0.9065,0.80551,0.89864,0.83773,0.35731,0.68422,0.87171,0.000537733,0.000537733,0.000537733
65,343.805,0.46784,0.55316,1.01037,0.91594,0.86918,0.93385,0.86736,0.38609,0.55247,0.89251,0.000523586,0.000523586,0.000523586
66,348.881,0.46375,0.54845,0.99657,0.9125,0.85584,0.93603,0.86766,0.37718,0.53758,0.89998,0.000509438,0.000509438,0.000509438
67,353.993,0.4611,0.54398,0.99776,0.88387,0.82923,0.9174,0.86083,0.34857,0.56581,0.87912,0.000495291,0.000495291,0.000495291
68,359.067,0.46652,0.53299,0.99728,0.89192,0.87789,0.94252,0.8729,0.35824,0.55565,0.87251,0.000481144,0.000481144,0.000481144
69,364.11,0.43604,0.51357,0.98547,0.91465,0.88294,0.94632,0.86627,0.35371,0.50127,0.88246,0.000466997,0.000466997,0.000466997
70,369.085,0.44371,0.50016,0.98674,0.88573,0.89559,0.94767,0.87971,0.36273,0.49065,0.89342,0.00045285,0.00045285,0.00045285
71,374.233,0.46617,0.52513,1.00402,0.94129,0.82776,0.9352,0.87645,0.34091,0.54746,0.8712,0.000438703,0.000438703,0.000438703
72,379.29,0.44899,0.51038,0.99398,0.87868,0.86665,0.93371,0.86224,0.34525,0.59312,0.86368,0.000424556,0.000424556,0.000424556
73,384.352,0.45489,0.52811,0.9911,0.8717,0.8414,0.92674,0.85137,0.35152,0.5554,0.87288,0.000410409,0.000410409,0.000410409
74,389.387,0.45608,0.53291,0.99505,0.89669,0.85091,0.9342,0.87236,0.33593,0.52912,0.86286,0.000396262,0.000396262,0.000396262
75,394.374,0.43845,0.50597,0.99388,0.89466,0.86752,0.94485,0.88583,0.34807,0.4956,0.88359,0.000382115,0.000382115,0.000382115
76,399.463,0.43188,0.49687,0.97315,0.88894,0.84959,0.94383,0.8753,0.36666,0.51205,0.89766,0.000367967,0.000367967,0.000367967
77,404.507,0.4457,0.49989,0.98527,0.9107,0.84078,0.93933,0.8616,0.36521,0.51025,0.88253,0.00035382,0.00035382,0.00035382
78,409.545,0.44226,0.47945,0.9891,0.94044,0.85919,0.95143,0.88375,0.35651,0.4692,0.8829,0.000339673,0.000339673,0.000339673
79,414.575,0.43105,0.47414,0.98317,0.88194,0.85235,0.9373,0.86802,0.35173,0.51735,0.87852,0.000325526,0.000325526,0.000325526
80,420.006,0.43587,0.48873,0.98494,0.8973,0.86152,0.93475,0.87447,0.34854,0.49076,0.88673,0.000311379,0.000311379,0.000311379
81,424.992,0.4183,0.4888,0.97883,0.86597,0.86117,0.94124,0.87668,0.34974,0.51516,0.8893,0.000297232,0.000297232,0.000297232
82,430.062,0.41537,0.45819,0.98186,0.95349,0.85952,0.94626,0.88387,0.34052,0.46182,0.88199,0.000283085,0.000283085,0.000283085
83,435.122,0.41692,0.45942,0.97539,0.92533,0.87503,0.95328,0.88718,0.33678,0.47662,0.883,0.000268938,0.000268938,0.000268938
84,440.265,0.4225,0.45064,0.97737,0.93229,0.85723,0.94856,0.8845,0.34892,0.53965,0.88449,0.000254791,0.000254791,0.000254791
85,445.248,0.40511,0.45664,0.97599,0.92169,0.87086,0.94947,0.88499,0.35204,0.4453,0.88529,0.000240644,0.000240644,0.000240644
86,450.323,0.4193,0.44564,0.96933,0.91686,0.88247,0.95295,0.89184,0.33351,0.45644,0.86603,0.000226497,0.000226497,0.000226497
87,455.541,0.42568,0.44468,0.98665,0.92949,0.88525,0.94785,0.88171,0.33574,0.48496,0.86546,0.000212349,0.000212349,0.000212349
88,460.62,0.41606,0.43709,0.98178,0.92731,0.86464,0.9505,0.88395,0.34024,0.46935,0.86803,0.000198202,0.000198202,0.000198202
89,465.64,0.40097,0.43881,0.97885,0.94751,0.86041,0.95435,0.88805,0.33973,0.45343,0.87197,0.000184055,0.000184055,0.000184055
90,470.669,0.40678,0.427,0.96974,0.93457,0.87309,0.95156,0.89416,0.32176,0.44709,0.86216,0.000169908,0.000169908,0.000169908
91,490.462,0.35789,0.48289,0.92467,0.91555,0.85371,0.92293,0.86202,0.35795,0.51224,0.87538,0.000155761,0.000155761,0.000155761
92,496.24,0.31612,0.35662,0.89729,0.90486,0.8833,0.93582,0.87325,0.33768,0.48219,0.86707,0.000141614,0.000141614,0.000141614
93,501.19,0.29048,0.30844,0.86449,0.90248,0.86709,0.93906,0.88051,0.3443,0.50154,0.87515,0.000127467,0.000127467,0.000127467
94,506.101,0.29626,0.31195,0.88019,0.91532,0.89462,0.94612,0.88075,0.34085,0.48607,0.87749,0.00011332,0.00011332,0.00011332
95,511.465,0.30338,0.30934,0.87776,0.91409,0.89169,0.95116,0.88605,0.3426,0.47648,0.88324,9.91726e-05,9.91726e-05,9.91726e-05
96,516.428,0.29269,0.29683,0.87557,0.93817,0.86058,0.95579,0.88813,0.34796,0.47119,0.89227,8.50255e-05,8.50255e-05,8.50255e-05
97,521.353,0.29696,0.31767,0.87104,0.94287,0.86116,0.95606,0.89064,0.34355,0.45045,0.88624,7.08784e-05,7.08784e-05,7.08784e-05
98,526.334,0.28054,0.28697,0.86586,0.94166,0.85841,0.9549,0.89239,0.33102,0.43454,0.87373,5.67313e-05,5.67313e-05,5.67313e-05
99,531.263,0.28478,0.29427,0.86764,0.93347,0.85545,0.95161,0.89091,0.3401,0.45321,0.87862,4.25842e-05,4.25842e-05,4.25842e-05
100,536.21,0.27963,0.28465,0.86432,0.93772,0.8631,0.95203,0.89076,0.33814,0.45123,0.88058,2.84371e-05,2.84371e-05,2.84371e-05
