epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7844,0.89552,2.33518,1.38708,0.00206,0.04173,0.0013,0.00027,2.94169,inf,12.2919,0.00045728,0.00045728,0.00045728
2,30.0797,1.16022,1.80958,1.51818,0.15309,0.30442,0.1124,0.0517,nan,nan,nan,0.000919654,0.000919654,0.000919654
3,40.7391,1.198,1.75059,1.50615,0,0,0,0,nan,nan,nan,0.00137269,0.00137269,0.00137269
4,51.3896,1.15216,1.63611,1.49585,0.08444,0.19349,0.07542,0.02716,2.28273,33.2592,2.64397,0.00138656,0.00138656,0.00138656
5,62.0041,1.06228,1.53453,1.4383,0.01977,0.01235,0.00555,0.00136,3.25857,14.154,9.24684,0.00137241,0.00137241,0.00137241
6,72.6619,1.03824,1.5208,1.39809,0.31501,0.49262,0.35147,0.21383,1.39334,6.5787,1.93947,0.00135826,0.00135826,0.00135826
7,83.6546,1.00251,1.40092,1.38364,0.53518,0.35611,0.1733,0.09983,1.54563,7.42971,2.19327,0.00134412,0.00134412,0.00134412
8,94.345,0.95921,1.33314,1.34998,0.42546,0.53336,0.47144,0.3452,0.92817,3.52047,1.45964,0.00132997,0.00132997,0.00132997
9,105.048,0.93298,1.31142,1.31638,0.70325,0.56976,0.62755,0.42448,1.00258,3.39146,1.52101,0.00131582,0.00131582,0.00131582
10,115.731,0.95576,1.27128,1.34426,0.6301,0.55397,0.60887,0.4596,0.89871,5.85674,1.35407,0.00130168,0.00130168,0.00130168
11,126.425,0.87115,1.2414,1.2981,0.48646,0.59705,0.56948,0.40392,0.91666,4.22526,1.39768,0.00128753,0.00128753,0.00128753
12,137.082,0.91308,1.22352,1.32008,0.5895,0.61234,0.65127,0.50117,0.7587,2.02352,1.27698,0.00127338,0.00127338,0.00127338
13,147.747,0.81109,1.09315,1.25445,0.82341,0.66995,0.79965,0.67758,0.67942,1.62354,1.16284,0.00125923,0.00125923,0.00125923
14,158.349,0.82035,1.1418,1.25778,0.56822,0.68097,0.7137,0.55723,0.8684,2.07466,1.2528,0.00124509,0.00124509,0.00124509
15,169.011,0.83979,1.1469,1.28725,0.67891,0.65467,0.69722,0.57743,0.66597,1.36905,1.14459,0.00123094,0.00123094,0.00123094
16,179.583,0.78368,1.06753,1.2354,0.81315,0.73656,0.85743,0.7352,0.57424,1.03438,1.05836,0.00121679,0.00121679,0.00121679
17,190.183,0.77228,1.05527,1.24479,0.83844,0.69634,0.84902,0.73009,0.58949,1.0857,1.06159,0.00120265,0.00120265,0.00120265
18,200.792,0.79432,1.06635,1.24147,0.81304,0.75092,0.85027,0.72749,0.58913,1.25633,1.07658,0.0011885,0.0011885,0.0011885
19,211.351,0.77487,1.06816,1.23241,0.82666,0.69114,0.81742,0.67108,0.66822,1.2908,1.13699,0.00117435,0.00117435,0.00117435
20,222.119,0.75057,1.00173,1.21274,0.81055,0.63636,0.79581,0.67805,0.63099,1.56008,1.07491,0.00116021,0.00116021,0.00116021
21,232.708,0.74541,0.97689,1.21862,0.72582,0.73828,0.82986,0.7287,0.61862,1.59823,1.09782,0.00114606,0.00114606,0.00114606
22,243.243,0.72355,0.99954,1.19246,0.73381,0.71973,0.79932,0.70282,0.53196,1.69454,1.02568,0.00113191,0.00113191,0.00113191
23,254.448,0.71839,0.9604,1.19334,0.80969,0.74256,0.85271,0.74981,0.53949,1.11815,1.0298,0.00111776,0.00111776,0.00111776
24,265.132,0.71182,0.97157,1.19806,0.82246,0.74421,0.84733,0.73217,0.5462,1.32861,1.00682,0.00110362,0.00110362,0.00110362
25,275.771,0.69892,0.94524,1.16448,0.8066,0.7914,0.84833,0.7563,0.55322,1.11147,1.01275,0.00108947,0.00108947,0.00108947
26,286.425,0.7028,0.95254,1.16549,0.75175,0.78387,0.85415,0.76818,0.4875,1.06177,0.98133,0.00107532,0.00107532,0.00107532
27,297.1,0.68389,0.92377,1.16589,0.81593,0.76996,0.87486,0.76963,0.52913,1.28704,1.02865,0.00106118,0.00106118,0.00106118
28,307.778,0.68639,0.91117,1.16568,0.87707,0.70499,0.86275,0.77796,0.47213,0.86361,0.98475,0.00104703,0.00104703,0.00104703
29,318.428,0.68439,0.85851,1.16133,0.65326,0.73622,0.82195,0.72002,0.55846,1.10623,1.05179,0.00103288,0.00103288,0.00103288
30,329.062,0.66415,0.88384,1.15019,0.9026,0.74919,0.8964,0.79909,0.51351,1.04422,1.02487,0.00101873,0.00101873,0.00101873
31,339.591,0.66679,0.89428,1.15883,0.7988,0.81238,0.87323,0.76338,0.48686,0.9911,0.98715,0.00100459,0.00100459,0.00100459
