epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,28.1847,0.82148,4.9443,0.01389,0.17462,0.3518,0.15973,0.14545,0.38771,4.24648,0.00924,0.00137184,0.00045728,0.00137184,0.00045728,0.00137184,0.00045728,0.00137184,0.00045728
2,41.2468,0.70248,3.28394,0.01169,0.34717,0.43342,0.32489,0.30867,0.30036,2.16926,0.00686,0.00275896,0.000919654,0.00275896,0.000919654,0.00275896,0.000919654,0.00275896,0.000919654
3,53.3391,0.60626,2.28302,0.00946,0.36438,0.58215,0.45764,0.4383,0.27525,1.46671,0.00633,0.00411808,0.00137269,0.00411808,0.00137269,0.00411808,0.00137269,0.00411808,0.00137269
4,65.3955,0.59832,1.77251,0.00936,0.70686,0.55861,0.68245,0.65587,0.26733,1.16524,0.00608,0.00415968,0.00138656,0.00415968,0.00138656,0.00415968,0.00138656,0.00415968,0.00138656
5,77.2184,0.56113,1.4006,0.00861,0.63104,0.76724,0.77347,0.7442,0.27667,1.02032,0.00627,0.00411723,0.00137241,0.00411723,0.00137241,0.00411723,0.00137241,0.00411723,0.00137241
6,89.0935,0.55834,1.22443,0.0088,0.71052,0.74805,0.80928,0.77421,0.28685,0.78532,0.00635,0.00407479,0.00135826,0.00407479,0.00135826,0.00407479,0.00135826,0.00407479,0.00135826
7,100.568,0.53177,1.06366,0.00838,0.86468,0.74389,0.87581,0.84786,0.2789,0.66884,0.0061,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412
8,112.545,0.5147,0.98001,0.00835,0.88969,0.68655,0.87667,0.84398,0.28406,0.62189,0.00621,0.00398991,0.00132997,0.00398991,0.00132997,0.00398991,0.00132997,0.00398991,0.00132997
9,124.274,0.49583,0.95736,0.00779,0.85169,0.73404,0.88312,0.84802,0.28249,0.63046,0.00634,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582
10,136.766,0.50519,0.84736,0.008,0.91286,0.82045,0.90939,0.8775,0.29012,0.52824,0.00657,0.00390503,0.00130168,0.00390503,0.00130168,0.00390503,0.00130168,0.00390503,0.00130168
11,149.487,0.48286,0.78795,0.00778,0.83417,0.82607,0.90585,0.86967,0.27472,0.5469,0.00603,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753
12,161.78,0.48089,0.72348,0.00752,0.88263,0.77025,0.89797,0.85675,0.27077,0.52031,0.00597,0.00382015,0.00127338,0.00382015,0.00127338,0.00382015,0.00127338,0.00382015,0.00127338
13,174.073,0.47486,0.69049,0.00747,0.91295,0.80886,0.92555,0.88226,0.28172,0.46638,0.00634,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923
14,186.548,0.47078,0.66339,0.00779,0.88424,0.8279,0.91671,0.87548,0.30507,0.52046,0.00673,0.00373526,0.00124509,0.00373526,0.00124509,0.00373526,0.00124509,0.00373526,0.00124509
15,198.194,0.47074,0.64683,0.00739,0.87578,0.86214,0.91218,0.87504,0.27736,0.56011,0.0058,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094
16,210.056,0.43121,0.58555,0.00673,0.92225,0.77783,0.90111,0.8663,0.29622,0.58252,0.0063,0.00365038,0.00121679,0.00365038,0.00121679,0.00365038,0.00121679,0.00365038,0.00121679
17,222.525,0.46277,0.60824,0.00747,0.91815,0.79219,0.90747,0.87092,0.27156,0.5715,0.00571,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265
18,234.063,0.44123,0.58551,0.007,0.87458,0.81387,0.89671,0.8589,0.27304,0.62838,0.00567,0.0035655,0.0011885,0.0035655,0.0011885,0.0035655,0.0011885,0.0035655,0.0011885
19,245.977,0.46139,0.57937,0.00721,0.83938,0.85115,0.91535,0.87785,0.25177,0.60209,0.00549,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435
20,258.71,0.43374,0.54234,0.00663,0.82682,0.8678,0.91274,0.87569,0.25689,0.53591,0.00571,0.00348062,0.00116021,0.00348062,0.00116021,0.00348062,0.00116021,0.00348062,0.00116021
21,270.648,0.44942,0.56213,0.00715,0.86226,0.85017,0.91755,0.87989,0.26878,0.5249,0.00597,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606
22,282.29,0.41543,0.51718,0.00639,0.9284,0.82841,0.92244,0.88495,0.28065,0.52451,0.00625,0.00339573,0.00113191,0.00339573,0.00113191,0.00339573,0.00113191,0.00339573,0.00113191
23,293.898,0.42297,0.50961,0.00678,0.88543,0.8252,0.91881,0.8887,0.27873,0.52524,0.0062,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776
24,305.78,0.43004,0.48264,0.0068,0.80325,0.87247,0.90616,0.86885,0.27263,0.63118,0.00592,0.00331085,0.00110362,0.00331085,0.00110362,0.00331085,0.00110362,0.00331085,0.00110362
25,317.32,0.42057,0.47229,0.00689,0.89411,0.86553,0.91923,0.87552,0.29302,0.54849,0.00647,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947
26,328.832,0.43816,0.501,0.00697,0.92175,0.82146,0.9196,0.87761,0.27881,0.55232,0.0062,0.00322597,0.00107532,0.00322597,0.00107532,0.00322597,0.00107532,0.00322597,0.00107532
27,340.648,0.41918,0.49522,0.00688,0.90494,0.79568,0.92164,0.87734,0.27842,0.53697,0.00621,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118
28,352.34,0.42527,0.43636,0.00683,0.87265,0.82995,0.925,0.88325,0.2713,0.56256,0.00596,0.00314108,0.00104703,0.00314108,0.00104703,0.00314108,0.00104703,0.00314108,0.00104703
29,363.867,0.41388,0.45946,0.00664,0.91956,0.85652,0.93636,0.89783,0.28734,0.50493,0.00652,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288
30,375.488,0.416,0.44499,0.00655,0.88663,0.85007,0.931,0.89533,0.26955,0.54186,0.00602,0.0030562,0.00101873,0.0030562,0.00101873,0.0030562,0.00101873,0.0030562,0.00101873
31,387.307,0.39819,0.42432,0.00628,0.903,0.82775,0.92503,0.89254,0.26441,0.54108,0.00583,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
32,399.6,0.39963,0.41395,0.00635,0.87862,0.8582,0.93071,0.89688,0.26811,0.51464,0.00608,0.00297132,0.00099044,0.00297132,0.00099044,0.00297132,0.00099044,0.00297132,0.00099044
33,411.04,0.42377,0.42833,0.00675,0.93053,0.82356,0.93906,0.9017,0.27908,0.47569,0.00627,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293
