epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,26.1055,0.8897,4.81,0.01435,0.00501,0.86476,0.08812,0.07335,0.33434,4.01171,0.00758,0.00137184,0.00045728,0.00137184,0.00045728,0.00137184,0.00045728,0.00137184,0.00045728
2,35.5264,0.73475,4.59144,0.01184,0.00511,0.92447,0.20471,0.17059,0.33833,3.87225,0.00775,0.00275896,0.000919654,0.00275896,0.000919654,0.00275896,0.000919654,0.00275896,0.000919654
3,43.9696,0.65189,4.20782,0.00996,0.79069,0.07042,0.2186,0.18664,0.34744,3.60355,0.00832,0.00411808,0.00137269,0.00411808,0.00137269,0.00411808,0.00137269,0.00411808,0.00137269
4,52.1093,0.64654,3.87552,0.00985,0.1615,0.17906,0.18717,0.17366,0.35161,3.44133,0.00829,0.00415968,0.00138656,0.00415968,0.00138656,0.00415968,0.00138656,0.00415968,0.00138656
5,60.3665,0.63119,3.48228,0.00932,0.18921,0.30956,0.21513,0.19912,0.35928,3.10581,0.00875,0.00411723,0.00137241,0.00411723,0.00137241,0.00411723,0.00137241,0.00411723,0.00137241
6,68.8372,0.64486,3.23612,0.00996,0.33921,0.49993,0.34285,0.32302,0.35499,2.86285,0.00876,0.00407479,0.00135826,0.00407479,0.00135826,0.00407479,0.00135826,0.00407479,0.00135826
7,77.0971,0.60714,2.98841,0.00929,0.47667,0.47627,0.49095,0.45882,0.41995,2.5449,0.01076,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412
8,85.4758,0.59678,2.83812,0.00934,0.53306,0.52299,0.54902,0.52058,0.36731,2.27519,0.00879,0.00398991,0.00132997,0.00398991,0.00132997,0.00398991,0.00132997,0.00398991,0.00132997
9,93.438,0.60537,2.63484,0.00929,0.58299,0.54081,0.59126,0.55577,0.35116,2.15103,0.0083,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582
10,101.306,0.59907,2.43136,0.00923,0.54892,0.58099,0.63337,0.59302,0.35449,1.90619,0.00862,0.00390503,0.00130168,0.00390503,0.00130168,0.00390503,0.00130168,0.00390503,0.00130168
