epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,26.519,0.92956,6.8016,0.01561,0.18833,0.24284,0.14159,0.11789,0.45645,4.19997,0.01125,0.00137184,0.00045728,0.00137184,0.00045728,0.00137184,0.00045728,0.00137184,0.00045728
2,37.1099,0.74144,3.36935,0.01258,0.27597,0.57647,0.28558,0.26976,0.37315,2.22766,0.00915,0.00275896,0.000919654,0.00275896,0.000919654,0.00275896,0.000919654,0.00275896,0.000919654
3,47.7708,0.65112,2.24979,0.01014,0.37477,0.46746,0.39178,0.3655,0.38448,1.71336,0.00946,0.00411808,0.00137269,0.00411808,0.00137269,0.00411808,0.00137269,0.00411808,0.00137269
4,57.3372,0.64054,1.78937,0.01006,0.45476,0.65885,0.52044,0.48773,0.33681,1.36627,0.00798,0.00415968,0.00138656,0.00415968,0.00138656,0.00415968,0.00138656,0.00415968,0.00138656
5,66.0431,0.60884,1.47952,0.00934,0.66056,0.60468,0.6658,0.62382,0.33943,1.16359,0.00781,0.00411723,0.00137241,0.00411723,0.00137241,0.00411723,0.00137241,0.00411723,0.00137241
6,74.6333,0.6236,1.28628,0.00983,0.70879,0.70807,0.77895,0.73031,0.32938,0.91766,0.00765,0.00407479,0.00135826,0.00407479,0.00135826,0.00407479,0.00135826,0.00407479,0.00135826
7,83.3685,0.57979,1.1502,0.00911,0.77885,0.70193,0.82048,0.77913,0.31276,0.85509,0.00726,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412
8,92.2127,0.56928,1.05434,0.00902,0.84963,0.76757,0.85071,0.8189,0.28243,0.7275,0.00654,0.00398991,0.00132997,0.00398991,0.00132997,0.00398991,0.00132997,0.00398991,0.00132997
9,100.815,0.54961,1.06153,0.00854,0.9055,0.72717,0.86823,0.8376,0.28772,0.65941,0.00681,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582
10,109.454,0.55916,0.9281,0.00883,0.81094,0.81709,0.89035,0.85286,0.3009,0.56399,0.00705,0.00390503,0.00130168,0.00390503,0.00130168,0.00390503,0.00130168,0.00390503,0.00130168
11,118.398,0.53584,0.8928,0.00882,0.79892,0.76804,0.86007,0.80792,0.30941,0.67667,0.00743,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753
12,127.264,0.52063,0.80807,0.00819,0.83943,0.77156,0.86034,0.81267,0.29572,0.70352,0.00695,0.00382015,0.00127338,0.00382015,0.00127338,0.00382015,0.00127338,0.00382015,0.00127338
13,135.831,0.52607,0.8025,0.00809,0.86841,0.77128,0.90227,0.85903,0.30131,0.56274,0.00706,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923
14,144.401,0.52398,0.7621,0.00842,0.81726,0.78277,0.87951,0.84242,0.28173,0.65128,0.00648,0.00373526,0.00124509,0.00373526,0.00124509,0.00373526,0.00124509,0.00373526,0.00124509
15,152.965,0.53292,0.73036,0.00823,0.88878,0.84716,0.91012,0.87136,0.31492,0.5471,0.0074,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094
16,161.839,0.48356,0.68974,0.00732,0.92853,0.75308,0.91327,0.86271,0.29478,0.56475,0.00684,0.00365038,0.00121679,0.00365038,0.00121679,0.00365038,0.00121679,0.00365038,0.00121679
17,170.421,0.49746,0.69269,0.00785,0.81883,0.84699,0.91207,0.86878,0.31171,0.58811,0.00704,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265
18,179.185,0.48172,0.67696,0.00748,0.91019,0.83778,0.92962,0.89188,0.3037,0.49555,0.00707,0.0035655,0.0011885,0.0035655,0.0011885,0.0035655,0.0011885,0.0035655,0.0011885
19,188.091,0.49963,0.64753,0.00765,0.87132,0.82752,0.9274,0.88785,0.3051,0.54421,0.007,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435
20,197.198,0.48127,0.62638,0.0073,0.82728,0.87037,0.91887,0.88005,0.30856,0.52522,0.00721,0.00348062,0.00116021,0.00348062,0.00116021,0.00348062,0.00116021,0.00348062,0.00116021
21,205.739,0.48985,0.64819,0.00766,0.81637,0.80954,0.89801,0.85378,0.31025,0.59907,0.00747,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606
22,214.432,0.47075,0.6071,0.00717,0.87959,0.80433,0.89526,0.85711,0.29886,0.58756,0.00699,0.00339573,0.00113191,0.00339573,0.00113191,0.00339573,0.00113191,0.00339573,0.00113191
23,223.892,0.47847,0.57619,0.00759,0.87375,0.76396,0.88105,0.83525,0.30423,0.6379,0.00718,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776
24,232.849,0.46917,0.58641,0.00738,0.85647,0.79301,0.86914,0.83088,0.28393,0.67638,0.00637,0.00331085,0.00110362,0.00331085,0.00110362,0.00331085,0.00110362,0.00331085,0.00110362
25,241.597,0.46091,0.5629,0.00744,0.78513,0.75415,0.84083,0.81014,0.27712,0.72832,0.00614,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947
26,250.057,0.47328,0.57935,0.00732,0.89171,0.75606,0.89626,0.85989,0.28535,0.57346,0.0065,0.00322597,0.00107532,0.00322597,0.00107532,0.00322597,0.00107532,0.00322597,0.00107532
27,258.948,0.45831,0.5392,0.00737,0.92763,0.75988,0.90993,0.86835,0.2863,0.5215,0.00657,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118
28,267.506,0.47214,0.53034,0.00737,0.90147,0.83447,0.91026,0.8737,0.28168,0.56401,0.00637,0.00314108,0.00104703,0.00314108,0.00104703,0.00314108,0.00104703,0.00314108,0.00104703
29,275.859,0.45613,0.54545,0.00726,0.89809,0.77738,0.91086,0.87712,0.26981,0.54946,0.00605,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288
30,284.375,0.45534,0.55496,0.0071,0.89028,0.79528,0.88183,0.84812,0.28414,0.58359,0.00652,0.0030562,0.00101873,0.0030562,0.00101873,0.0030562,0.00101873,0.0030562,0.00101873
31,292.703,0.44218,0.51107,0.00691,0.87173,0.80218,0.89626,0.86009,0.28983,0.61518,0.00671,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
