epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9598,0.85237,2.29994,1.32596,0.32025,0.61334,0.52332,0.40389,0.65556,3.20835,1.13617,0.00045728,0.00045728,0.00045728
2,20.8357,0.78638,1.39732,1.22145,0.44923,0.53767,0.50365,0.36716,0.69542,3.41301,1.17558,0.000919654,0.000919654,0.000919654
3,26.4761,0.84351,1.31492,1.23131,0.39849,0.62022,0.48411,0.2829,1.12036,6.14095,1.63983,0.00137269,0.00137269,0.00137269
4,31.989,0.85125,1.28332,1.23042,0.1696,0.4333,0.17014,0.09262,1.33288,9.34797,1.94669,0.00138656,0.00138656,0.00138656
5,37.2263,0.83493,1.1958,1.24769,0.69715,0.68365,0.72845,0.59114,0.69673,2.85717,1.19205,0.00137241,0.00137241,0.00137241
6,42.7939,0.80459,1.10964,1.20654,0.71899,0.60009,0.71945,0.53736,0.89303,1.63512,1.33146,0.00135826,0.00135826,0.00135826
7,48.4238,0.82125,1.09472,1.22868,0.6661,0.75192,0.76911,0.62891,0.69814,2.46217,1.16819,0.00134412,0.00134412,0.00134412
8,55.0125,0.79816,1.08789,1.19698,0.6289,0.65347,0.68858,0.55318,0.71936,2.19838,1.19508,0.00132997,0.00132997,0.00132997
9,60.5532,0.74817,1.02569,1.16215,0.82842,0.72978,0.84499,0.70323,0.59608,1.37675,1.02778,0.00131582,0.00131582,0.00131582
10,66.0357,0.74046,1.00638,1.1754,0.79129,0.60812,0.78114,0.61657,0.77544,1.38162,1.17738,0.00130168,0.00130168,0.00130168
11,71.1946,0.71276,0.98528,1.15621,0.87999,0.74096,0.85746,0.7484,0.57983,0.92564,1.03942,0.00128753,0.00128753,0.00128753
12,76.3913,0.69875,0.94158,1.16005,0.82239,0.68304,0.80186,0.66485,0.62201,1.24053,1.09091,0.00127338,0.00127338,0.00127338
13,81.495,0.6898,0.87013,1.14577,0.80819,0.78327,0.846,0.71408,0.61241,0.86139,1.10242,0.00125923,0.00125923,0.00125923
14,86.7467,0.68372,0.91705,1.13927,0.79299,0.74667,0.87024,0.77011,0.56382,1.00935,1.00075,0.00124509,0.00124509,0.00124509
15,91.8562,0.69048,0.95493,1.14377,0.82396,0.77752,0.88014,0.75314,0.57269,0.79056,1.03228,0.00123094,0.00123094,0.00123094
16,97.2981,0.65526,0.88261,1.1212,0.71734,0.72525,0.79832,0.69957,0.62139,1.36815,1.06515,0.00121679,0.00121679,0.00121679
17,102.411,0.63633,0.88265,1.11705,0.84091,0.72304,0.84643,0.75033,0.53594,1.12619,1.02167,0.00120265,0.00120265,0.00120265
18,107.802,0.64367,0.84715,1.1167,0.80332,0.76393,0.87004,0.76659,0.51942,0.80127,1.00157,0.0011885,0.0011885,0.0011885
19,113.11,0.66076,0.86458,1.12369,0.83602,0.81027,0.90619,0.79117,0.50139,0.77843,0.97834,0.00117435,0.00117435,0.00117435
20,118.355,0.61555,0.79814,1.1026,0.84145,0.74896,0.88297,0.7815,0.54472,0.82746,1.02876,0.00116021,0.00116021,0.00116021
21,123.476,0.61281,0.81209,1.10282,0.79558,0.77061,0.86002,0.75076,0.53576,0.945,1.01522,0.00114606,0.00114606,0.00114606
22,129.075,0.60522,0.79864,1.0931,0.93636,0.73811,0.90325,0.77802,0.53015,0.78626,1.01417,0.00113191,0.00113191,0.00113191
23,134.432,0.57694,0.75475,1.07137,0.86623,0.71306,0.87046,0.7816,0.46802,1.08135,0.9719,0.00111776,0.00111776,0.00111776
24,139.66,0.58627,0.78332,1.0866,0.88771,0.79786,0.9088,0.79711,0.50827,0.69027,1.00154,0.00110362,0.00110362,0.00110362
25,145.162,0.58652,0.76615,1.07685,0.90829,0.79831,0.90841,0.82004,0.45455,0.67789,0.93632,0.00108947,0.00108947,0.00108947
26,151.011,0.57139,0.75486,1.06626,0.91203,0.81173,0.9274,0.8192,0.47859,0.65263,0.9769,0.00107532,0.00107532,0.00107532
27,156.327,0.5685,0.74924,1.06874,0.77308,0.83623,0.91514,0.82373,0.48268,1.42148,0.96555,0.00106118,0.00106118,0.00106118
28,161.864,0.57903,0.73089,1.07887,0.94973,0.79489,0.91325,0.78133,0.59572,0.69683,1.04907,0.00104703,0.00104703,0.00104703
29,167.232,0.58965,0.70507,1.0698,0.82027,0.83711,0.90176,0.79182,0.49467,0.72882,0.98256,0.00103288,0.00103288,0.00103288
30,172.437,0.56727,0.70901,1.06256,0.87035,0.80127,0.88566,0.80588,0.43339,0.72023,0.9275,0.00101873,0.00101873,0.00101873
