epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6714,3.25165,8.55465,4.28644,4.22993,0.00261,0.25,0.0032,0.00105,0,0,0,0,3.05933,5.24972,3.91633,4.14806,0.00035552,0.00035552,0.00035552
2,25.8803,3.25178,4.82685,4.18723,4.11637,0.00307,0.36403,0.01558,0.00596,0.00263,0.30193,0.01054,0.00289,2.64585,4.89968,3.8581,3.77843,0.000715001,0.000715001,0.000715001
3,35.1422,3.11568,4.27122,3.94886,3.88171,0.40275,0.36403,0.02175,0.00762,0.40259,0.31067,0.01422,0.00463,2.58363,4.84126,4.02665,3.52265,0.00106722,0.00106722,0.00106722
4,44.4336,2.99294,3.86739,3.60433,3.56463,0.03576,0.45472,0.05102,0.01673,0.05861,0.43444,0.05279,0.02211,2.56725,3.94205,3.6599,3.16829,0.001078,0.001078,0.001078
5,53.8071,2.8393,3.51109,3.32372,3.22356,0.27166,0.20731,0.14771,0.06048,0.26451,0.23383,0.17661,0.08067,2.44311,3.31562,2.96341,2.84937,0.001067,0.001067,0.001067
6,63.1466,2.61506,3.19499,3.00465,2.8518,0.23109,0.38553,0.22331,0.09544,0.23145,0.38976,0.22384,0.0923,2.28132,4.43358,2.93078,2.51412,0.00105601,0.00105601,0.00105601
7,72.758,2.47168,2.98249,2.77028,2.64597,0.22051,0.40843,0.23292,0.10081,0.20425,0.39745,0.2252,0.10101,2.22418,3.0094,2.8402,2.42659,0.00104501,0.00104501,0.00104501
8,82.2147,2.3211,2.78936,2.57726,2.46664,0.28387,0.4782,0.32339,0.14465,0.27408,0.45948,0.3113,0.13326,2.11505,2.58358,2.52854,2.27484,0.00103401,0.00103401,0.00103401
9,91.438,2.20055,2.62963,2.41189,2.32633,0.24985,0.28664,0.23111,0.11217,0.24371,0.27561,0.20349,0.08062,2.10461,2.77583,3.05219,2.29045,0.00102301,0.00102301,0.00102301
10,100.816,2.14616,2.56555,2.41078,2.29032,0.37292,0.43454,0.35309,0.16308,0.37215,0.4185,0.32029,0.13791,2.04335,2.51302,2.31353,2.11722,0.00101201,0.00101201,0.00101201
