epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1629,0.75809,1.43985,2.23841,1.04481,0.65914,0.57137,0.65153,0.53711,0.63308,0.55342,0.60335,0.4361,0.62747,1.61573,2.71171,0.88311,0.00035552,0.00035552,0.00035552
2,25.5492,0.71872,1.04751,1.28066,1.00409,0.54123,0.58078,0.57666,0.37295,0.54585,0.57129,0.53766,0.33247,0.97711,2.16697,4.93861,1.29639,0.000715001,0.000715001,0.000715001
3,36.0056,0.78556,1.01745,1.24922,1.03402,0.54943,0.74226,0.67277,0.4673,0.52963,0.7137,0.62616,0.34608,0.86604,3.71668,9.23335,1.22185,0.00106722,0.00106722,0.00106722
4,46.4626,0.79589,1.1062,1.14607,1.03395,0.56823,0.69588,0.70159,0.48466,0.51929,0.67002,0.62767,0.3619,0.86848,1.88371,3.08247,1.08597,0.001078,0.001078,0.001078
5,56.6585,0.7736,1.01565,1.05482,1.02227,0.64188,0.73114,0.74563,0.55129,0.62228,0.7221,0.72107,0.4676,0.85009,1.88936,1.75693,1.10689,0.001067,0.001067,0.001067
6,67.2016,0.72374,0.99304,0.9892,0.99077,0.61052,0.75437,0.75914,0.58389,0.57528,0.71594,0.68888,0.42641,0.77936,2.31272,2.40149,1.00419,0.00105601,0.00105601,0.00105601
7,77.4366,0.7225,0.96128,0.97214,1.00679,0.62513,0.56774,0.62172,0.49572,0.62363,0.52981,0.57027,0.4019,0.70061,1.50892,1.67736,0.96008,0.00104501,0.00104501,0.00104501
8,87.6637,0.68413,0.93408,0.94775,0.96967,0.74257,0.69522,0.83267,0.68181,0.72397,0.65082,0.7662,0.55619,0.64987,1.4663,1.44806,0.91689,0.00103401,0.00103401,0.00103401
9,98.1199,0.68192,0.91927,0.88352,0.96531,0.7419,0.63343,0.71378,0.56162,0.73388,0.57605,0.66022,0.47162,0.69082,1.16973,1.686,0.96071,0.00102301,0.00102301,0.00102301
10,108.348,0.65515,0.87237,0.86141,0.96857,0.78152,0.79605,0.88342,0.71937,0.76132,0.77158,0.82715,0.60845,0.69649,1.04467,1.27543,0.96298,0.00101201,0.00101201,0.00101201
11,118.642,0.63397,0.82479,0.82532,0.94489,0.79236,0.79502,0.86244,0.70014,0.77767,0.73861,0.8084,0.59294,0.63435,1.02312,0.99703,0.91846,0.00100101,0.00100101,0.00100101
12,129.205,0.63754,0.84584,0.81678,0.96303,0.87391,0.77277,0.87341,0.72076,0.83842,0.73429,0.8082,0.59209,0.63855,1.14309,0.83913,0.93649,0.000990012,0.000990012,0.000990012
13,140.226,0.61578,0.81374,0.75918,0.95126,0.82919,0.76506,0.87846,0.73434,0.79666,0.73744,0.81988,0.62129,0.6499,1.09092,0.84125,0.93827,0.000979013,0.000979013,0.000979013
14,150.529,0.61628,0.78247,0.77075,0.94744,0.83407,0.74593,0.88369,0.71471,0.84846,0.69429,0.81839,0.59867,0.64965,1.10268,0.76579,0.93412,0.000968014,0.000968014,0.000968014
15,160.723,0.62137,0.82816,0.77845,0.95309,0.80505,0.75104,0.85894,0.71064,0.86479,0.67689,0.81749,0.60395,0.61035,0.91378,0.82294,0.91448,0.000957015,0.000957015,0.000957015
16,171.009,0.59788,0.75079,0.74906,0.93497,0.7466,0.78845,0.83964,0.70307,0.75188,0.72235,0.78864,0.57998,0.61767,1.03173,0.95908,0.91426,0.000946016,0.000946016,0.000946016
17,181.188,0.5841,0.7231,0.74525,0.92921,0.75701,0.75231,0.84403,0.70815,0.72262,0.72169,0.78973,0.5855,0.60588,0.96395,0.89365,0.90089,0.000935018,0.000935018,0.000935018
18,191.45,0.58586,0.74172,0.738,0.9373,0.84457,0.75118,0.86859,0.7136,0.81087,0.71991,0.81137,0.60884,0.63495,0.97562,0.8507,0.95201,0.000924019,0.000924019,0.000924019
19,201.72,0.59117,0.7703,0.7184,0.93117,0.83429,0.82553,0.91471,0.75109,0.80607,0.79973,0.87634,0.6472,0.64016,1.05598,0.64092,0.95232,0.00091302,0.00091302,0.00091302
20,212.163,0.56694,0.74258,0.69542,0.9356,0.87046,0.7934,0.90003,0.7756,0.871,0.74797,0.85852,0.65884,0.5808,1.02775,0.71619,0.90209,0.000902021,0.000902021,0.000902021
21,222.777,0.55057,0.70583,0.69035,0.92565,0.82693,0.83962,0.9103,0.75691,0.83757,0.76352,0.84686,0.64156,0.60659,0.99314,0.73207,0.91006,0.000891022,0.000891022,0.000891022
22,233,0.56473,0.71085,0.7104,0.92337,0.8474,0.78535,0.89192,0.75025,0.82024,0.76347,0.84939,0.64338,0.62525,0.97178,0.71219,0.92079,0.000880023,0.000880023,0.000880023
23,243.193,0.55412,0.69253,0.66168,0.91501,0.86853,0.8197,0.9046,0.75618,0.84063,0.74871,0.83322,0.62905,0.61573,1.00525,0.74868,0.91411,0.000869024,0.000869024,0.000869024
