epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.63142,0.92105,1.90984,2.92587,1.08994,0.00955,0.58303,0.16438,0.12297,0.0094,0.57337,0.16355,0.13854,0.82865,1.21381,3.21689,0.97019,0.00035552,0.00035552,0.00035552
2,15.5215,0.81334,1.11321,1.76268,1.01487,0.61824,0.36563,0.30108,0.21273,0.61824,0.36563,0.30033,0.23662,0.93273,1.38813,2.79045,1.0614,0.000715001,0.000715001,0.000715001
3,22.1114,0.78489,1.02583,1.5438,0.98879,0.35078,0.37221,0.46252,0.28108,0.35196,0.37935,0.47617,0.37566,1.03251,1.28065,2.31942,1.20949,0.00106722,0.00106722,0.00106722
4,28.7821,0.75851,1.07556,1.40136,0.97825,0.57298,0.60568,0.70276,0.51268,0.58435,0.59741,0.68334,0.49718,0.84833,1.29884,1.63272,1.01869,0.001078,0.001078,0.001078
5,35.3252,0.77411,0.97703,1.28558,0.99075,0.61338,0.69493,0.70259,0.52903,0.63307,0.6467,0.66965,0.46114,0.82142,1.48598,1.53487,0.98972,0.001067,0.001067,0.001067
6,41.9882,0.73954,0.96835,1.20498,0.96027,0.7681,0.729,0.80534,0.64795,0.75005,0.70782,0.77765,0.55339,0.72323,1.2653,1.17453,0.90988,0.00105601,0.00105601,0.00105601
7,48.531,0.73166,0.96114,1.15134,0.97874,0.56961,0.71424,0.69494,0.52539,0.55923,0.70765,0.66406,0.4513,0.77579,1.19103,1.46369,0.9444,0.00104501,0.00104501,0.00104501
8,55.1881,0.70697,0.9407,1.09459,0.95005,0.74843,0.71301,0.82569,0.65736,0.73314,0.68356,0.78962,0.5704,0.69608,1.15714,1.26722,0.89472,0.00103401,0.00103401,0.00103401
9,61.7658,0.691,0.91277,1.03054,0.94327,0.7261,0.76152,0.82618,0.65039,0.7157,0.69596,0.77942,0.57068,0.71459,1.21648,1.03465,0.92643,0.00102301,0.00102301,0.00102301
10,68.565,0.67799,0.88027,1.04028,0.94873,0.74971,0.77489,0.8526,0.65808,0.73772,0.72836,0.79741,0.58617,0.72835,1.08769,1.08426,0.90748,0.00101201,0.00101201,0.00101201
11,75.1686,0.68292,0.85699,0.9911,0.93957,0.82686,0.75389,0.8457,0.662,0.80986,0.73009,0.81965,0.60623,0.72242,1.06197,1.041,0.9155,0.00100101,0.00100101,0.00100101
12,81.7691,0.66853,0.86299,0.95936,0.94774,0.81924,0.69065,0.81993,0.61665,0.74766,0.70387,0.78541,0.54064,0.82126,1.20896,1.05617,1.00971,0.000990012,0.000990012,0.000990012
13,88.4303,0.64332,0.81405,0.9235,0.93626,0.72448,0.71618,0.80558,0.64089,0.69334,0.68902,0.75617,0.51648,0.68031,1.19261,1.08312,0.89786,0.000979013,0.000979013,0.000979013
14,94.9579,0.64516,0.82255,0.89994,0.92808,0.79807,0.76817,0.87102,0.69861,0.75418,0.7273,0.80604,0.61454,0.68453,0.92941,0.85933,0.89678,0.000968014,0.000968014,0.000968014
15,101.839,0.64969,0.84368,0.90935,0.93895,0.84301,0.74076,0.84673,0.67734,0.82074,0.71846,0.8155,0.60696,0.69723,1.00391,0.92021,0.90917,0.000957015,0.000957015,0.000957015
16,108.475,0.6317,0.78269,0.87954,0.92294,0.75892,0.81809,0.85747,0.69853,0.74481,0.8016,0.82837,0.60698,0.63206,0.99701,1.03841,0.88772,0.000946016,0.000946016,0.000946016
17,115.005,0.61441,0.77454,0.84395,0.92092,0.74336,0.74126,0.83097,0.67359,0.70098,0.73847,0.77855,0.55732,0.67862,1.14771,1.06431,0.89513,0.000935018,0.000935018,0.000935018
18,121.72,0.61009,0.76405,0.8272,0.92392,0.86319,0.77346,0.87404,0.70932,0.85486,0.75687,0.85339,0.63347,0.63689,1.08684,0.83661,0.87964,0.000924019,0.000924019,0.000924019
19,128.332,0.64052,0.82857,0.83156,0.9291,0.81714,0.78362,0.86985,0.6822,0.82445,0.72572,0.82179,0.60812,0.69481,1.06429,0.88094,0.92594,0.00091302,0.00091302,0.00091302
20,134.936,0.62507,0.76544,0.79277,0.92587,0.86082,0.77969,0.87504,0.73365,0.82709,0.7694,0.84878,0.64416,0.61212,1.04116,0.85077,0.86503,0.000902021,0.000902021,0.000902021
21,141.685,0.60513,0.75621,0.78763,0.91744,0.7655,0.79656,0.86799,0.71796,0.72948,0.76363,0.81405,0.6152,0.62369,1.07659,1.00527,0.8689,0.000891022,0.000891022,0.000891022
22,148.41,0.61475,0.77726,0.80036,0.92024,0.78374,0.77994,0.86265,0.69785,0.76067,0.75646,0.82737,0.61101,0.64977,1.09414,0.92535,0.89912,0.000880023,0.000880023,0.000880023
